game_id,date,season,week,league,away,home,match_loss,match_played,match_win,team_points_against,team_points_for
curling-wcf-world-2026-830-10-3,2026-03-01,2026,1,WCF-WORLD,United States of America,Denmark,1.0,1.0,0.0,7.0,5.0
curling-wcf-world-2026-830-11-1,2026-03-01,2026,1,WCF-WORLD,Denmark,Norway,1.0,1.0,0.0,9.0,5.0
curling-wcf-world-2026-830-3-1,2026-02-24,2026,1,WCF-WORLD,Denmark,Italy,1.0,1.0,0.0,6.0,5.0
curling-wcf-world-2026-830-4-2,2026-02-25,2026,1,WCF-WORLD,Denmark,Canada,1.0,1.0,0.0,8.0,7.0
curling-wcf-world-2026-830-5-1,2026-02-25,2026,1,WCF-WORLD,Japan,Denmark,0.0,1.0,1.0,4.0,9.0
curling-wcf-world-2026-830-9-1,2026-02-28,2026,1,WCF-WORLD,Denmark,Scotland,1.0,1.0,0.0,10.0,1.0
curling-wcf-world-2026-836-1-2,2026-04-25,2026,1,WCF-WORLD,Denmark,France,1.0,1.0,0.0,8.0,5.0
curling-wcf-world-2026-836-13-2,2026-04-29,2026,1,WCF-WORLD,China,Denmark,1.0,1.0,0.0,9.0,6.0
curling-wcf-world-2026-836-5-3,2026-04-26,2026,1,WCF-WORLD,Denmark,Australia,1.0,1.0,0.0,11.0,8.0
curling-wcf-world-2026-836-7-2,2026-04-27,2026,1,WCF-WORLD,Denmark,New Zealand,0.0,1.0,1.0,4.0,11.0
curling-wcf-world-2026-836-9-1,2026-04-27,2026,1,WCF-WORLD,Denmark,Netherlands,1.0,1.0,0.0,7.0,5.0
