game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mls-2013-X0Oq66zq6D,,2013,1,MLS,,,0.0,-1.4168,24.4529,13.4156,1.0,,,0.1956,,1.0,,20.0,3300.0,0.6539,1465.0,-60.8618,-4.1544,0.0418,,16.0,,7.0,1.4168,0.8044,,0.6886,2.2212,0.6955,0.6488
soccer-mls-2014-jYQJ19EqGR,,2014,1,MLS,,,0.0,-0.4221,22.2792,9.7516,0.0,,,-0.2931,,0.0,,5.0,1394.0,0.7807,579.0,1.7469,0.3017,0.0,,8.0,,1.0,0.4221,0.2931,,-0.0292,0.7151,0.7776,0.1822
soccer-mls-2015-Z2vQ1xlqrA,,2015,1,MLS,,,1.0,0.1372,21.3804,9.1406,1.0,,,0.3671,,2.0,,8.0,1373.0,0.6801,694.0,2.2748,0.3278,1.7193,,11.0,,4.0,0.8628,0.6329,,0.7468,1.4957,0.6768,0.6203
soccer-mls-2016-YgOMngl5wN,,2016,1,MLS,,,1.0,-0.2457,22.9085,10.7644,0.0,0.0,-0.3383,-0.5256,0.0,1.0,0.0,21.0,2831.0,0.6985,1234.0,0.3307,0.0268,0.0,2.0,12.0,2.0,4.0,1.2457,0.5256,0.3383,-0.1932,1.7713,0.6983,0.4729
soccer-mls-2017-YgOMngl5wN,,2017,1,MLS,,,1.0,0.637,25.3112,11.2254,0.0,,,-0.1246,,1.0,,3.0,838.0,0.6832,322.0,-5.9639,-1.8522,0.0,,2.0,,1.0,0.363,0.1246,,0.111,0.4875,0.7018,0.0742
soccer-mls-2018-19vQ2095K6,,2018,1,MLS,,,1.0,0.4053,26.7294,12.6681,0.0,,,-0.53,,1.0,,8.0,2944.0,0.7306,1199.0,-13.5844,-1.133,0.0,,11.0,,3.0,0.5947,0.53,,-0.2641,1.1247,0.7419,0.4515
soccer-mls-2019-19vQ2095K6,,2019,1,MLS,,,0.0,-0.2238,26.5941,14.636,1.0,,,0.5353,,1.0,,2.0,1948.0,0.6811,646.0,2.439,0.3776,0.4903,,5.0,,2.0,0.2238,0.4647,,0.2938,0.6885,0.6773,0.281
soccer-mls-2020-vzqoOgNqap,,2020,1,MLS,,,0.0,0.0,24.7711,9.8979,0.0,,,-0.1714,,0.0,,0.0,644.0,0.7318,261.0,-0.31,-0.1188,0.0,,5.0,,2.0,0.0,0.1714,,-0.0095,0.1714,0.733,0.1628
soccer-mls-2021-vzqoOgNqap,,2021,1,MLS,,,0.0,0.0,25.3923,9.7568,1.0,,,0.845,,1.0,,0.0,712.0,0.8566,258.0,5.9131,2.2919,0.5651,,3.0,,1.0,0.0,0.155,,0.5638,0.155,0.8337,0.0865
soccer-mls-2022-mvzqoLZQap,,2022,1,MLS,,,0.0,0.0,26.0806,12.7664,0.0,,,-0.0456,,0.0,,0.0,252.0,0.8264,121.0,3.0253,2.5003,0.0,,1.0,,0.0,0.0,0.0456,,-0.0456,0.0456,0.8014,0.0434
