game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,7.0,3.0,,5.0,,9.0,12.0,6.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,11.0,4.0,77.0,,9.0,,139.0,15.0
