game_id,date,season,week,league,away,home,conversions,dst_touchdown,lost_fumbles,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W6_PIT,,2022,6,USFL,,,,,,,0.0,71.0,4.0,,
SYNTHETIC_USFL_2022_W7_PIT,,2022,7,USFL,,,,,,,0.0,18.0,3.0,,
SYNTHETIC_USFL_2022_W8_PIT,,2022,8,USFL,,,,,,,1.0,60.0,6.0,,
SYNTHETIC_USFL_2022_W9_PIT,,2022,9,USFL,,,,,,,0.0,11.0,2.0,,
SYNTHETIC_USFL_2022_W10_PIT,,2022,10,USFL,,,,,1.0,,2.0,38.0,3.0,,
SYNTHETIC_USFL_2023_W1_MAULERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,,,1.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W2_MAULERS,2023-04-23,2023,2,USFL,MAULERS,GENERALS,,,,,0.0,53.0,9.0,0.0,6.0
SYNTHETIC_USFL_2023_W3_MAULERS,2023-04-30,2023,3,USFL,STARS,MAULERS,,,,,0.0,10.0,2.0,,
SYNTHETIC_USFL_2023_W4_MAULERS,2023-05-07,2023,4,USFL,MAULERS,STALLIONS,1.0,,,,0.0,43.0,3.0,0.0,14.0
SYNTHETIC_USFL_2023_W5_MAULERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,,,,1.0,62.0,6.0,0.0,12.0
SYNTHETIC_USFL_2023_W6_MAULERS,2023-05-20,2023,6,USFL,SHOWBOATS,MAULERS,,,,,,103.0,8.0,,-2.0
SYNTHETIC_USFL_2023_W7_MAULERS,2023-05-27,2023,7,USFL,MAULERS,STARS,,,,,1.0,22.0,2.0,,
SYNTHETIC_USFL_2023_W8_MAULERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,,,,,0.0,66.0,4.0,0.0,12.0
SYNTHETIC_USFL_2023_W9_MAULERS,2023-06-10,2023,9,USFL,MAULERS,PANTHERS,,,,,0.0,67.0,5.0,0.0,7.0
SYNTHETIC_USFL_2023_W10_MAULERS,2023-06-17,2023,10,USFL,GENERALS,MAULERS,,,,,1.0,48.0,6.0,,
SYNTHETIC_USFL_2023_W11_MAULERS,,2023,11,USFL,,,,,,,,83.0,6.0,,
SYNTHETIC_USFL_2023_W12_MAULERS,,2023,12,USFL,,,,,,,,55.0,8.0,,13.0
SYNTHETIC_UFL_2025_W1_SHOWBOATS,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,,,0.0,6.0,1.0,,
SYNTHETIC_UFL_2025_W2_SHOWBOATS,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,1.0,,,,,,
SYNTHETIC_UFL_2025_W4_SHOWBOATS,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,,,0.0,5.0,1.0,,
SYNTHETIC_UFL_2025_W5_SHOWBOATS,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,1.0,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2025_W9_SHOWBOATS,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,,,,0.0,12.0,1.0,,
SYNTHETIC_UFL_2025_W10_SHOWBOATS,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,,,0.0,22.0,4.0,,
