game_id,date,season,week,league,away,home,receptions,rushing_tds,rushing_yards
BILLINGS-OREGON,,,1,,,,1.0,,-4.0
LIGHTNING-WOLFPACK-MAR22,,,2,,,,,0.0,22.0
STORM-LIGHTNING-0330,0330,,3,,STORM,LIGHTNING,,0.0,2.0
