game_id,date,season,week,league,away,home,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
2452440,,,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2559383,,,1,,,,5.0,0.0,0.0,4.0,0.0,7.0,2.0
2457576,,,2,,,,2.0,0.0,0.0,0.0,1.0,5.0,1.0
2559390,,,2,,,,3.0,0.0,0.0,3.0,2.0,4.0,1.0
2463134,,,3,,,,3.0,0.0,0.0,1.0,0.0,9.0,1.0
2559395,,,3,,,,5.0,0.0,0.0,5.0,1.0,9.0,0.0
2463415,,,4,,,,3.0,0.0,0.0,3.0,0.0,10.0,0.0
2559403,,,4,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2463419,,,5,,,,5.0,1.0,0.0,2.0,1.0,9.0,2.0
2559406,,,5,,,,2.0,0.0,0.0,0.0,0.0,5.0,0.0
2559424,,,6,,,,3.0,0.0,0.0,1.0,0.0,2.0,0.0
