game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,1.0,1.0,1.0,24.0,6.0,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,4.0,2.0,2.0,24.0,7.0,12.0,385.0,3.0,37.0
