game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_int,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,3.0,11.0,2.0,1.0,28.0,4.0,196.0,98.0,3.0,387.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,5.0,,,4.0,,20.0,17.0,,35.0
