game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,match_played
cricket-t20i-2019-05-18-1183856,2019-05-18,2019,1,T20I,United States of America,Canada,6.0,0.0,0.0,10.0,2.0,0.0,1.0
cricket-t20i-2023-09-04-1395008,2023-09-04,2023,1,T20I,Canada,Brazil,2.0,0.0,0.0,5.0,0.0,0.0,1.0
cricket-t20i-2023-09-05-1395010,2023-09-05,2023,1,T20I,Canada,Argentina,13.0,0.0,1.0,6.0,5.0,0.0,1.0
cricket-t20i-2023-09-07-1395011,2023-09-07,2023,1,T20I,United States of America,Canada,22.0,3.0,0.0,7.0,24.0,0.0,1.0
cricket-t20i-2023-09-08-1395013,2023-09-08,2023,1,T20I,Canada,Brazil,6.0,0.0,0.0,6.0,0.0,0.0,1.0
cricket-t20i-2023-09-11-1395018,2023-09-11,2023,1,T20I,United States of America,Canada,5.0,0.0,0.0,6.0,1.0,0.0,1.0
cricket-t20i-2025-03-11-1474984,2025-03-11,2025,1,T20I,Argentina,Canada,19.0,1.0,0.0,7.0,12.0,0.0,1.0
cricket-t20i-2025-03-17-1474992,2025-03-17,2025,1,T20I,United States of America,Canada,18.0,0.0,0.0,5.0,3.0,0.0,1.0
cricket-t20i-2025-10-24-1506667,2025-10-24,2025,1,T20I,Uganda,Canada,30.0,1.0,0.0,2.0,14.0,0.0,1.0
cricket-t20i-2025-10-26-1506668,2025-10-26,2025,1,T20I,Uganda,Canada,1.0,0.0,0.0,3.0,0.0,0.0,1.0
cricket-t20i-2025-11-04-1506669,2025-11-04,2025,1,T20I,Canada,Tanzania,28.0,0.0,0.0,2.0,13.0,0.0,1.0
cricket-t20i-2025-11-05-1506670,2025-11-05,2025,1,T20I,Tanzania,Canada,9.0,0.0,0.0,4.0,1.0,0.0,1.0
