game_id,date,season,week,league,away,home,assist_tackles,completions,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_tds,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,12.0,23.0,,,1.0,,1.0,10.0,,10.0,1.0,2.0,3.0,33.0,,76.0,38.0,4.0,272.0,1.0,6.0,6.0,43.3,54.0,2.0,,130.0,3.0,2.0,2.0,4.0,272.0,23.0,16.0,1.0,50.0,5.0,54.0,66.0,12.0
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,17.0,16.0,,1.0,,1.0,2.0,69.0,1.0,75.0,,2.0,2.0,21.0,,37.0,26.0,2.0,235.0,1.0,4.0,3.0,47.2,56.0,2.0,1.0,189.0,4.0,27.0,3.0,2.0,235.0,16.0,27.0,,68.0,1.0,42.0,59.0,10.0
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,10.0,34.0,1.0,1.0,1.0,,3.0,,,,1.0,,3.0,25.0,,63.0,43.0,,219.0,,16.0,26.0,42.6,48.0,3.0,,213.0,5.0,6.0,2.0,,219.0,34.0,12.0,,58.0,2.0,59.0,69.0,12.0
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,29.0,15.0,,,1.0,,1.0,20.0,,20.0,,2.0,2.0,41.0,,71.0,29.0,1.0,182.0,1.0,6.0,8.0,41.5,53.0,2.0,,249.0,6.0,7.0,1.0,1.0,182.0,15.0,16.0,1.0,44.0,5.0,43.0,72.0,6.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,12.0,23.0,2.0,1.0,,,3.0,46.0,1.0,56.0,1.0,2.0,1.0,14.0,,14.0,37.0,2.0,264.0,,18.0,41.0,42.7,50.0,4.0,,128.0,3.0,4.0,2.0,2.0,264.0,23.0,28.0,,108.0,3.0,36.0,48.0,12.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,35.0,7.0,1.0,,,,1.0,19.0,1.0,20.0,1.0,3.0,2.0,39.0,,61.0,18.0,1.0,91.0,1.0,6.0,6.0,37.8,49.0,2.0,,227.0,6.0,2.0,3.0,1.0,91.0,7.0,31.0,,117.0,4.0,47.0,82.0,3.0
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,19.0,18.0,,,1.0,,1.0,32.0,,54.0,,2.0,6.0,48.0,,179.0,34.0,2.0,196.0,1.0,4.0,4.0,41.3,51.0,1.0,,124.0,3.0,38.0,2.0,2.0,196.0,18.0,18.0,,57.0,2.0,45.0,64.0,10.0
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,34.0,20.0,,,1.0,,1.0,64.0,,114.0,,2.0,5.0,37.0,,116.0,31.0,3.0,170.0,,13.0,19.0,45.5,55.0,4.0,,273.0,6.0,31.0,5.0,3.0,170.0,20.0,17.0,1.0,78.0,3.0,65.0,99.0,8.0
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,23.0,21.0,,,,,,10.0,,12.0,1.0,2.0,5.0,27.0,,100.0,34.0,2.0,204.0,1.0,,,48.5,67.0,1.0,,194.0,4.0,36.0,3.0,2.0,204.0,21.0,27.0,,99.0,1.0,45.0,68.0,9.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,19.0,20.0,,,2.0,,2.0,,,,1.0,,6.0,34.0,,118.0,37.0,1.0,244.0,,12.0,28.0,45.5,67.0,3.0,,182.0,4.0,15.0,3.0,1.0,244.0,20.0,37.0,2.0,129.0,1.0,35.0,54.0,12.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,29.0,18.0,,,,,,15.0,,15.0,,4.0,2.0,23.0,,45.0,25.0,3.0,278.0,,41.0,64.0,37.0,47.0,3.0,,185.0,5.0,22.0,2.0,3.0,278.0,18.0,26.0,3.0,56.0,3.0,46.0,75.0,11.0
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,21.0,12.0,,2.0,,1.0,3.0,11.0,,11.0,,1.0,3.0,84.0,1.0,132.0,18.0,,119.0,2.0,9.0,9.0,50.0,56.0,1.0,1.0,150.0,3.0,46.0,2.0,,119.0,12.0,37.0,2.0,156.0,3.0,40.0,61.0,5.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,9.0,18.0,1.0,,1.0,1.0,3.0,16.0,,16.0,,1.0,3.0,25.0,,69.0,26.0,1.0,150.0,1.0,14.0,22.0,38.4,47.0,2.0,,192.0,5.0,7.0,3.0,1.0,150.0,18.0,29.0,,122.0,3.0,38.0,47.0,10.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,12.0,20.0,1.0,1.0,1.0,,3.0,18.0,,18.0,,1.0,4.0,26.0,,80.0,27.0,1.0,264.0,1.0,9.0,11.0,42.0,43.0,2.0,,126.0,3.0,-5.0,2.0,1.0,264.0,20.0,46.0,1.0,133.0,,28.0,40.0,12.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,8.0,24.0,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,25.0,,25.0,31.0,1.0,211.0,,10.0,24.0,51.0,51.0,4.0,,51.0,1.0,,,1.0,211.0,24.0,49.0,2.0,266.0,2.0,28.0,36.0,12.0
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,15.0,26.0,,,1.0,,1.0,1.0,,1.0,3.0,1.0,4.0,22.0,,67.0,41.0,1.0,216.0,2.0,3.0,3.0,50.2,59.0,1.0,,201.0,4.0,12.0,3.0,1.0,216.0,26.0,23.0,1.0,87.0,1.0,40.0,55.0,11.0
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,26.0,28.0,1.0,1.0,,,2.0,1.0,,1.0,2.0,1.0,7.0,97.0,1.0,235.0,50.0,,210.0,1.0,13.0,23.0,39.8,46.0,2.0,,199.0,5.0,19.0,3.0,,210.0,28.0,14.0,,56.0,,39.0,65.0,11.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,10.0,27.0,,,,,,,,,2.0,,5.0,33.0,,122.0,38.0,3.0,351.0,,13.0,38.0,40.0,40.0,4.0,,40.0,1.0,1.0,1.0,3.0,351.0,27.0,29.0,2.0,101.0,4.0,50.0,60.0,17.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,31.0,9.0,1.0,,,2.0,3.0,,,,1.0,,2.0,25.0,,41.0,16.0,1.0,39.0,,9.0,18.0,31.7,51.0,2.0,1.0,95.0,3.0,16.0,2.0,1.0,39.0,9.0,41.0,,229.0,4.0,44.0,75.0,2.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,43.0,20.0,,,,,,22.0,,22.0,1.0,2.0,7.0,27.0,,155.0,37.0,4.0,288.0,1.0,9.0,15.0,37.3,46.0,2.0,,112.0,3.0,10.0,2.0,4.0,288.0,20.0,23.0,1.0,57.0,1.0,46.0,89.0,14.0
