game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_td,kr_yds,pr_no,pr_td,pr_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,,3.0,3.0,18.0,9.0,3.0,,89.0,10.0,,210.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,3.0,4.0,4.0,73.0,12.0,37.0,1.0,1043.0,2.0,,26.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,1.0,4.0,7.0,53.0,12.0,22.0,,619.0,2.0,,38.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,4.0,2.0,3.0,50.0,12.0,12.0,,269.0,4.0,,57.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,3.0,6.0,78.0,12.0,,,,14.0,1.0,247.0
