game_id,date,season,week,league,away,home,recceiving_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
BILLINGS-OREGON,,,1,,,,,1.0,78.0,8.0,,
SYNTHETIC_AF1_2025_W4_BILLINGS,2025-04-03,2025,4,AF1,BILLINGS,WASHINGTON,114.0,2.0,,10.0,,
WASHINGTON-BILLINGS-0403,2025-04-03,2025,4,AF1,BILLINGS,WASHINGTON,,715.0,39108.0,3493.0,,
BILLINGS-ALBANY-0413,2025-04-13,2025,5,AF1,BILLINGS,ALBANY,,370.0,31462.0,2963.0,,
SYNTHETIC_AF1_2025_W5_BILLINGS,2025-04-13,2025,5,AF1,BILLINGS,ALBANY,,1.0,74.0,6.0,,
SYNTHETIC_AF1_2025_W6_BILLINGS,2025-04-20,2025,6,AF1,ALBANY,BILLINGS,,,46.0,4.0,,
BILLINGS-SALINA-0425,2025-04-25,2025,7,AF1,SALINA,BILLINGS,,,,,0.0,45.0
