game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,pass_att,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,,,,1.0,,,,,,17.0,2.0,3.0,,6.0,28.0,,,,,,,,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,,,,,,,,,,,21.0,4.0,7.0,,15.0,54.0,,,,,,,,
FOOTBALL_CFL_2021_10_23_BC@WPG,2021-10-23,2021,1,CFL,BC,WPG,,,,,,,,,,,19.0,4.0,7.0,,26.0,42.0,,,,,,,,
FOOTBALL_CFL_2021_9_11_OTT@BC,2021-09-11,2021,1,CFL,OTT,BC,,,,,,,,,,,9.0,3.0,4.0,1.0,1.0,25.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,,,,,,,,,,,31.0,2.0,4.0,1.0,1.0,48.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_9_24_SSK@BC,2021-09-24,2021,1,CFL,SSK,BC,,,,,,,,,,,13.0,2.0,4.0,,9.0,17.0,,,,,,,,
FOOTBALL_CFL_2022_10_15_WPG@BC,2022-10-15,2022,1,CFL,WPG,BC,,,,,,,,,,,12.0,3.0,6.0,,,25.0,,,,,,,,
FOOTBALL_CFL_2022_10_21_BC@EDM,2022-10-21,2022,1,CFL,BC,EDM,,,,,,,,,,,28.0,3.0,3.0,1.0,21.0,49.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_10_28_BC@WPG,2022-10-28,2022,1,CFL,BC,WPG,,,,,,,,,,,16.0,5.0,9.0,,21.0,59.0,,,,,,,,
FOOTBALL_CFL_2022_10_8_BC@TOR,2022-10-08,2022,1,CFL,BC,TOR,,,,,,,,,,,,3.0,6.0,1.0,31.0,43.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_11_13_BC@WPG,2022-11-13,2022,1,CFL,BC,WPG,1.0,1.0,,,,,,,,,30.0,7.0,10.0,,22.0,133.0,20.0,4.0,53.0,,,,,
