game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_td,pat_made,rush_td,sacks,safeties,tackles,xp_attempts,xp_made
FOOTBALL_IFL_2026_3_29_TVEGASKNIGHTHAWKSG20260329KHXS@TTUCSONSUGARSKULLS,2026-03-29,2026,3,IFL,Vegas Knight Hawks,Tucson Sugar Skulls,,,,,,,,,,,,10.0,42.2,0.0,2.0,422.0,10.0,,,,,,,,,,,11.0,10.0
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,2.0,0.0,0.0,1.0,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,0.0,0.0,3.0,,
FOOTBALL_IFL_2026_4_12_TJACKSONVILLESHARKSG20260412GKF3@TVEGASKNIGHTHAWKS,2026-04-12,2026,5,IFL,Jacksonville Sharks,Vegas Knight Hawks,,,,,,,,,,,,6.0,48.2,0.0,0.0,434.0,9.0,,,,,,,,,,,8.0,6.0
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,3.0,,
FOOTBALL_IFL_2026_4_18_TVEGASKNIGHTHAWKSG20260418AH7B@TSANANTONIOGUNSLINGERS,2026-04-18,2026,6,IFL,Vegas Knight Hawks,San Antonio Gunslingers,,,,,,,,,,,,8.0,49.1,2.0,0.0,491.0,10.0,,,,,,,,,,,8.0,8.0
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,2.0,1.0,0.0,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,7.0,,
FOOTBALL_IFL_2026_4_25_TNEWMEXICOCHUPACABRASG20260425GFZ9@TVEGASKNIGHTHAWKS,2026-04-25,2026,7,IFL,New Mexico Chupacabras,Vegas Knight Hawks,,,,,,,,,,,,6.0,52.6,1.0,0.0,368.0,7.0,,,,,,,,,,,7.0,6.0
FOOTBALL_NAL_2026_4_18_T600411G1127157@T570666,2026-04-19,2026,7,NAL,Salina Liberty,Sioux City Bandits,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,6.0,,
FOOTBALL_UFL_2026_5_9_CLB@STL,2026-05-09,2026,7,UFL,CLB,STL,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
FOOTBALL_IFL_2026_5_3_TARIZONARATTLERSG202605032RVU@TVEGASKNIGHTHAWKS,2026-05-03,2026,8,IFL,Arizona Rattlers,Vegas Knight Hawks,,,,,,1.0,0.0,0.0,,,,8.0,44.1,0.0,2.0,397.0,9.0,,,,,,,,,,,8.0,8.0
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,5.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,2.0,,
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,,,,,,,,,,,,10.0,42.5,0.0,1.0,425.0,10.0,,,,,,,,,,,10.0,10.0
FOOTBALL_NAL_2026_5_9_T566773G1127168@T570666,2026-05-10,2026,10,NAL,Amarillo Warbirds,Sioux City Bandits,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,0.0,0.0,2.0,,
