game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_yards
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,18.0,1.0,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,1.0,28.0,2.0,9.0
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,24.0,2.0,
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,,0.0,14.0,1.0,
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,1.0,0.0,40.0,2.0,
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,,0.0,0.0,1.0,
