game_id,date,season,week,league,away,home,def_pd,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,10.0,5.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,4.0
