game_id,date,season,week,league,away,home,pass_att,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_kr,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,,2.0,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,10.0,6.0,9.0,,15.0,38.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,16.0,5.0,8.0,,14.0,47.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,,,,,,11.0,3.0,,,,17.0,,,,,,,
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,25.0,4.0,6.0,,19.0,55.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,,13.0,2.0,5.0,,12.0,14.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,,6.0,2.0,2.0,,,11.0,,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,9.0,3.0,4.0,,3.0,22.0,14.0,1.0,,,,14.0,,,,,,,
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,,,,2.0,,,,23.0,3.0,,,,52.0,1.0,-2.0,-2.0,,,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,4.0,1.0,2.0,,,4.0,105.0,2.0,,,1.0,127.0,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,,,,,,42.0,6.0,,,,176.0,,,,,,,
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,,,,,,,38.0,7.0,,,,172.0,,,,,,,
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,,11.0,7.0,8.0,1.0,24.0,53.0,34.0,4.0,,,,104.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_7_7_CGY@WPG,2017-07-07,2017,1,CFL,CGY,WPG,,12.0,1.0,1.0,,3.0,12.0,21.0,5.0,,,,75.0,,,,,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,,34.0,2.0,5.0,,3.0,40.0,38.0,4.0,,,,97.0,,,,,,,
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,,,,2.0,,,,29.0,4.0,,,,87.0,,,,,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,5.0,1.0,2.0,,5.0,5.0,31.0,2.0,2.0,15.0,,49.0,1.0,24.0,24.0,,,,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,2.0,4.0,1.0,41.0,82.0,34.0,3.0,,,,70.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,,,,1.0,,,,13.0,1.0,,,,13.0,1.0,16.0,16.0,,,,
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,1.0,12.0,2.0,3.0,,12.0,19.0,27.0,2.0,,,,50.0,2.0,16.0,20.0,,,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,,,,,,,28.0,4.0,,,,87.0,,,,,,,
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,,,1.0,1.0,1.0,,23.0,26.0,2.0,,,,50.0,1.0,12.0,12.0,,1.0,6.0,1.0
