game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,16.0,8.0,72.0,29.0,16.0,1.0,147.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,13.0,5.0,30.0,17.0,13.0,,72.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,14.0,15.0,86.0,50.0,14.0,,234.0
