game_id,date,season,week,league,away,home,def_ast,def_qbh,def_sack,def_solo,def_tackles,def_tackles_solo,def_tot,def_ydsl,gp
FOOTBALL_CFL_2018_10_13_SSK@WPG,2018-10-13,2018,1,CFL,SSK,WPG,,,,1.0,,,1.0,,
FOOTBALL_CFL_2018_10_26_CGY@WPG,2018-10-26,2018,1,CFL,CGY,WPG,,,1.0,2.0,,,2.0,6.0,
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,,,1.0,1.0,,,1.0,7.0,
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,,,,3.0,,,3.0,,
FOOTBALL_CFL_2018_11_18_WPG@CGY,2018-11-18,2018,1,CFL,WPG,CGY,,,,1.0,,,1.0,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,,2.0,,,2.0,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,,1.0,,,1.0,,
FOOTBALL_CFL_2018_8_25_WPG@CGY,2018-08-25,2018,1,CFL,WPG,CGY,,,,1.0,,,1.0,,
FOOTBALL_CFL_2018_9_29_WPG@EDM,2018-09-29,2018,1,CFL,WPG,EDM,,,,1.0,,,1.0,,
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,,,,2.0,,,2.0,,
FOOTBALL_CFL_2019_12_15_CLE@ARI,2019-12-15,2019,1,CFL,CLE,ARI,,,,1.0,,,1.0,,
FOOTBALL_CFL_2019_12_1_CLE@PIT,2019-12-01,2019,1,CFL,CLE,PIT,,,,1.0,,,1.0,,
FOOTBALL_CFL_2019_12_8_CIN@CLE,2019-12-08,2019,1,CFL,CIN,CLE,1.0,,,,,,1.0,,
FOOTBALL_CFL_2019_7_20_EDM@MTL,2019-07-20,2019,1,CFL,EDM,MTL,,,,1.0,,,1.0,,
FOOTBALL_CFL_2019_8_17_CLE@IND,2019-08-17,2019,1,CFL,CLE,IND,,1.0,,1.0,,,1.0,,
FOOTBALL_CFL_2019_8_23_CLE@TB,2019-08-23,2019,1,CFL,CLE,TB,1.0,1.0,,,,,1.0,,
FOOTBALL_CFL_2019_8_29_DET@CLE,2019-08-29,2019,1,CFL,DET,CLE,,1.0,1.0,1.0,,,1.0,,
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,,,,1.0,1.0,,,1.0
