game_id,date,season,week,league,away,home,assists,blocks,drops,goals,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_pts,score_r,score_tot,throwaways,yardsReceived,yardsThrown
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,,,,,4.0,2.0,,10.0,,,,19.0,,,,,,,,,,,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,,,,,23.0,18.0,,,,,4.0,335.0,1.0,1.0,,1.0,,,,,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,,,1.0,1.0,,-1.0,,,,-1.0,,,,,,,,,,,
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,,,,,5.0,2.0,,,,,1.0,34.0,,,,,,,,,,,
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,,,12.0,10.0,,30.0,,,1.0,111.0,1.0,4.0,,4.0,,,,,,,
FOOTBALL_CFL_2017_9_9_CGY@EDM,2017-09-09,2017,1,CFL,CGY,EDM,,,,,2.0,1.0,,-3.0,,,,-3.0,,,,,,,,,,,
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,,,37.0,22.0,1.0,43.0,19.0,3.0,2.0,292.0,7.0,26.0,,44.0,,,,,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,,,37.0,26.0,2.0,69.0,14.0,3.0,,277.0,5.0,22.0,1.0,43.0,,6.0,1.0,1.0,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,,32.0,21.0,,41.0,37.0,5.0,1.0,205.0,9.0,27.0,,71.0,,,,,,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,,,14.0,9.0,,26.0,,,2.0,103.0,4.0,44.0,,61.0,,,,,,,
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,,,24.0,16.0,,27.0,,,,187.0,1.0,3.0,,3.0,,,,,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,,,1.0,1.0,,,,,1.0,2.0,4.0,2.0,1.0,6.0,,6.0,1.0,1.0,,,
FOOTBALL_CFL_2018_6_23_CGY@TOR,2018-06-23,2018,1,CFL,CGY,TOR,,,,,13.0,8.0,,15.0,,,,65.0,3.0,,1.0,14.0,,6.0,1.0,1.0,,,
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,,,,,36.0,26.0,1.0,37.0,12.0,2.0,,296.0,2.0,5.0,,7.0,,,,,,,
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,,,,36.0,21.0,1.0,27.0,8.0,2.0,,151.0,3.0,2.0,,5.0,1.0,2.0,,,,,
FOOTBALL_CFL_2018_7_27_TOR@WPG,2018-07-27,2018,1,CFL,TOR,WPG,,,,,31.0,20.0,3.0,46.0,24.0,4.0,,236.0,7.0,9.0,1.0,21.0,,6.0,1.0,1.0,,,
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,,,,,24.0,16.0,1.0,50.0,9.0,1.0,1.0,217.0,6.0,18.0,1.0,31.0,,6.0,1.0,1.0,,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,,,,,,,,,,,4.0,3.0,1.0,8.0,,6.0,1.0,1.0,,,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,,,,,,,,,,4.0,8.0,,18.0,,,,,,,
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,,,,,,,,,,,,3.0,2.0,2.0,4.0,,12.0,2.0,2.0,,,
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,,,,,,,,,,,3.0,3.0,1.0,5.0,,6.0,1.0,1.0,,,
FOOTBALL_CFL_2018_9_28_TOR@CGY,2018-09-28,2018,1,CFL,TOR,CGY,,,,,,,,,,,,,3.0,3.0,1.0,7.0,,6.0,1.0,1.0,,,
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,,,1.0,1.0,,,,,1.0,3.0,4.0,4.0,2.0,8.0,,12.0,2.0,2.0,,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,,,,,,,,,,,5.0,3.0,1.0,8.0,,6.0,1.0,1.0,,,
SYNTHETIC_AUDL_2022_W1_CANNONS,,2022,1,AUDL,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_2022_W2_CANNONS,,2022,2,AUDL,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_2022_W3_CANNONS,,2022,3,AUDL,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-06-25-CAR-TB,2022-06-25,2022,5,,CAR,TB,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-07-09-TB-CAR,2022-07-09,2022,7,AUDL,cannons,flyers,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-07-16-ATL-TB,2022-07-16,2022,8,AUDL,hustle,cannons,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-07-23-DAL-TB,2022-07-23,2022,9,AUDL,legion,cannons,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-07-29-TB-ATX,2022-07-29,2022,10,AUDL,cannons,sol,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2022-07-30-TB-DAL,2022-07-30,2022,10,AUDL,cannons,legion,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2024-04-27-LA-OAK,2024-04-27,2024,1,UFA,aviators,spiders,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0,122.0,20.0
2024-05-04-SLC-LA,2024-05-04,2024,2,UFA,shred,aviators,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,94.0,-5.0
2024-05-18-POR-LA,2024-05-18,2024,4,UFA,nitro,aviators,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,14.0,48.0
2024-06-02-SEA-LA,2024-06-02,2024,6,UFA,cascades,aviators,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,21.0,30.0
2024-06-07-LA-SEA,2024-06-07,2024,7,UFA,aviators,cascades,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,0.0,294.0,38.0
2024-06-08-LA-POR,2024-06-08,2024,7,UFA,aviators,nitro,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2024-06-15-LA-SD,2024-06-15,2024,8,UFA,aviators,growlers,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0,125.0,76.0
2024-06-21-LA-SLC,2024-06-21,2024,9,UFA,aviators,shred,1.0,1.0,0.0,5.0,,,,,,,,,,,,,,,,,1.0,396.0,45.0
2024-06-30-OAK-LA,2024-06-30,2024,10,UFA,spiders,aviators,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0,206.0,80.0
2024-07-07-SD-LA,2024-07-07,2024,11,UFA,growlers,aviators,4.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,0.0,210.0,237.0
2024-07-12-LA-COL,2024-07-12,2024,12,UFA,aviators,summit,3.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,3.0,449.0,177.0
2024-07-21-OAK-LA,2024-07-21,2024,13,UFA,spiders,aviators,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,1.0,230.0,184.0
2025-05-03-LA-SD,2025-05-03,2025,2,UFA,aviators,growlers,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.0,172.0,93.0
2025-05-04-SD-LA,2025-05-04,2025,2,UFA,growlers,aviators,4.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,4.0,343.0,146.0
2025-05-10-ATL-LA,2025-05-10,2025,3,UFA,hustle,aviators,3.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,0.0,342.0,162.0
2025-05-16-LA-SD,2025-05-16,2025,4,UFA,aviators,growlers,5.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,1.0,262.0,203.0
2025-05-30-HTX-LA,2025-05-30,2025,6,UFA,havoc,aviators,4.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,1.0,376.0,134.0
2025-06-06-ATX-LA,2025-06-06,2025,7,UFA,sol,aviators,2.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,2.0,162.0,97.0
2025-06-20-LA-ORE,2025-06-20,2025,9,UFA,aviators,steel,1.0,0.0,1.0,5.0,,,,,,,,,,,,,,,,,1.0,265.0,96.0
2025-06-21-LA-SEA,2025-06-21,2025,9,UFA,aviators,cascades,3.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,5.0,376.0,158.0
2025-07-05-SD-LA,2025-07-05,2025,11,UFA,growlers,aviators,3.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2.0,212.0,183.0
2025-07-11-LA-HTX,2025-07-11,2025,12,UFA,aviators,havoc,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2025-07-12-LA-ATX,2025-07-12,2025,12,UFA,aviators,sol,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
