game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,,31.0,20.0,1.0,36.0,14.0,2.0,1.0,268.0,,,3.0,7.0,14.0,,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,29.0,13.0,,20.0,48.0,7.0,,124.0,,,1.0,4.0,4.0,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,,23.0,18.0,,48.0,47.0,6.0,4.0,210.0,,,4.0,15.0,30.0,,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,,11.0,7.0,,,6.0,1.0,1.0,113.0,,,2.0,73.0,75.0,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,,2.0,2.0,,13.0,,,,19.0,,,1.0,9.0,9.0,,
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,1.0,1.0,,25.0,18.0,,39.0,30.0,6.0,,203.0,,,3.0,7.0,12.0,,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,,1.0,1.0,,9.0,9.0,1.0,,9.0,,,,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,,1.0,1.0,,,,,1.0,16.0,,,,,,,
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,,27.0,19.0,1.0,18.0,25.0,3.0,,168.0,,,1.0,7.0,7.0,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,,29.0,21.0,,40.0,13.0,3.0,1.0,255.0,,,2.0,5.0,6.0,,
ALBANY-SALINA-0504,2025-05-04,2025,8,AF1,SALINA,ALBANY,,,0.0,,,,,,,,,7.0,308.0,,,,1.0,11.0
BILLINGS-SALINA-0524,2025-05-24,2025,11,AF1,SALINA,BILLINGS,,,1.0,,,,,,,,,5.0,292.0,,,,,
SALINA-KANSAS-0607,2025-06-07,2025,13,AF1,SW KANSAS,SALINA,,,0.0,,,,,,,,,1.0,35.0,,,,,
SWKANSAS-SALINA-0615,2025-06-15,2025,14,AF1,SALINA,SW KANSAS,,,1.0,,,,,,,,,3.0,202.0,,,,,
