game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
BILLINGS-OREGON,,,1,,,,1.0,87.0,3.0,-4.0
LIGHTNING-WOLFPACK-MAR22,,,2,,,,1.0,69.0,6.0,-1.0
