game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,9.0,2.0,22.0,8.0,16.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,8.0,,,,
