game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,3.0,,10.0,23.0,13.0,2.0,77.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,2.0,1.0,12.0,6.0,2.0,32.0,1103.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,1.0,5.0,3.0,1.0,,
