game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,,,,19.0,1.0,1.0,13.0,19.0
FOOTBALL_CFL_2022_7_1_EDM@HAM,2022-07-01,2022,1,CFL,EDM,HAM,,,,5.0,1.0,1.0,,5.0
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,,,,9.0,1.0,1.0,3.0,9.0
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,,,,,2.0,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,27.0,1.0,1.0,7.0,27.0
FOOTBALL_CFL_2022_8_27_OTT@EDM,2022-08-27,2022,1,CFL,OTT,EDM,,,,8.0,1.0,3.0,2.0,8.0
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,,11.0,1.0,2.0,2.0,11.0
SYNTHETIC_CFL_2022_W4_EDM,,2022,4,CFL,,,0.0,5.0,1.0,,,,,
SYNTHETIC_CFL_2022_W5_EDM,,2022,5,CFL,,,0.0,0.0,0.0,,,,,
6236,2022-07-22,2022,7,CFL,WPG,EDM,0.0,9.0,1.0,,,,,
6245,2022-08-06,2022,9,CFL,EDM,BC,0.0,11.0,1.0,,,,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,0.0,27.0,1.0,,,,,
6278,2022-10-08,2022,18,CFL,EDM,WPG,0.0,19.0,1.0,,,,,
9889354,2023-10-13,2023,19,CFL,BC,HAM,0.0,4.0,1.0,,,,,
9889362,2023-10-28,2023,21,CFL,HAM,MTL,0.0,9.0,2.0,,,,,
