game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,sacks,tackles
SYNTHETIC_CFL_2023_W7_EDM,,2023,7,CFL,,,,0.0,11.0,1.0,,
SYNTHETIC_CFL_2023_W8_EDM,,2023,8,CFL,,,,0.0,9.0,1.0,,
SYNTHETIC_CFL_2023_W12_EDM,,2023,12,CFL,,,0.0,0.0,68.0,1.0,0.0,0.0
SYNTHETIC_CFL_2023_W14_EDM,,2023,14,CFL,,,,0.0,5.0,1.0,,
SYNTHETIC_CFL_2023_W15_EDM,,2023,15,CFL,,,,0.0,5.0,1.0,,
SYNTHETIC_CFL_2023_W16_EDM,,2023,16,CFL,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W18_EDM,,2023,18,CFL,,,0.0,1.0,79.0,4.0,0.0,1.0
SYNTHETIC_CFL_2023_W19_EDM,,2023,19,CFL,,,,0.0,37.0,2.0,,
SYNTHETIC_CFL_2024_W4_EDM,,2024,4,CFL,,,,0.0,10.0,1.0,,
SYNTHETIC_CFL_2024_W8_EDM,,2024,8,CFL,,,,1.0,40.0,2.0,,
SYNTHETIC_CFL_2024_W13_EDM,,2024,13,CFL,,,,0.0,7.0,1.0,,
SYNTHETIC_CFL_2024_W14_EDM,,2024,14,CFL,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2024_W16_EDM,,2024,16,CFL,,,,0.0,37.0,3.0,,
SYNTHETIC_CFL_2025_W20_WPG,,2025,20,CFL,,,,0.0,44.0,4.0,,
SYNTHETIC_CFL_2025_W21_WPG,,2025,21,CFL,,,,0.0,7.0,2.0,,
