game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,sh_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,1.0,9.0,6.0,2.0,7.0,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,6.0,17.0,10.0,6.0,16.0,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,7.0,18.0,9.0,23.0,16.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,8.0,18.0,4.0,40.0,12.0,1.0
