game_id,date,season,week,league,away,home,def_pd,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,8.0,7.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,10.0,11.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,28.0,10.0
