game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-DAL-ATX,2023-05-06,2023,2,,DAL,ATX,4.0,3.0,42.0,42.0,1.0,,2.0,6.0,50.0,7.0,161.0,382.0
2023-05-13-HTX-DAL,2023-05-13,2023,3,,HTX,DAL,4.0,,42.0,47.0,,4.0,4.0,1.0,53.0,6.0,274.0,622.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,3.0,1.0,33.0,31.0,1.0,,2.0,,39.0,7.0,172.0,334.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,,DAL,HTX,4.0,2.0,46.0,55.0,,4.0,2.0,2.0,59.0,4.0,143.0,612.0
2023-06-09-CAR-DAL,2023-06-09,2023,7,,CAR,DAL,6.0,1.0,29.0,40.0,,3.0,2.0,,47.0,6.0,42.0,447.0
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,7.0,1.0,31.0,43.0,,3.0,5.0,,46.0,3.0,106.0,563.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,3.0,,43.0,48.0,,1.0,3.0,2.0,56.0,6.0,209.0,306.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,3.0,1.0,44.0,47.0,,1.0,3.0,,51.0,3.0,93.0,458.0
2023-07-08-ATX-DAL,2023-07-08,2023,11,,ATX,DAL,5.0,,53.0,52.0,2.0,3.0,5.0,1.0,58.0,4.0,224.0,556.0
2023-07-15-HTX-DAL,2023-07-15,2023,12,,HTX,DAL,3.0,,47.0,51.0,,3.0,3.0,,55.0,4.0,56.0,684.0
2023-07-22-DAL-HTX,2023-07-22,2023,13,,DAL,HTX,6.0,,42.0,39.0,0.0,1.0,5.0,,46.0,5.0,111.0,475.0
2023-07-25-DAL-CAR,2023-07-25,2023,13,,DAL,CAR,,1.0,,,,,,1.0,,,,
