game_id,date,season,week,league,away,home,extra_point,extra_points,field_goal_yards,missed
SYNTHETIC_CFL_2023_W1_SSK,,2023,1,CFL,,,1.0,,103.0,1.0
SYNTHETIC_CFL_2023_W3_SSK,,2023,3,CFL,,,,,58.0,
SYNTHETIC_CFL_2023_W5_SSK,,2023,5,CFL,,,,,16.0,
SYNTHETIC_CFL_2023_W6_SSK,,2023,6,CFL,,,3.0,,36.0,1.0
SYNTHETIC_CFL_2023_W7_SSK,,2023,7,CFL,,,,,99.0,
SYNTHETIC_CFL_2023_W8_SSK,,2023,8,CFL,,,1.0,,83.0,
SYNTHETIC_CFL_2023_W9_SSK,,2023,9,CFL,,,2.0,,115.0,
SYNTHETIC_CFL_2023_W10_SSK,,2023,10,CFL,,,,,76.0,
SYNTHETIC_CFL_2023_W11_SSK,,2023,11,CFL,,,4.0,,80.0,
SYNTHETIC_CFL_2023_W13_SSK,,2023,13,CFL,,,2.0,,123.0,
SYNTHETIC_CFL_2023_W14_SSK,,2023,14,CFL,,,,,66.0,1.0
SYNTHETIC_CFL_2023_W16_SSK,,2023,16,CFL,,,1.0,,,
SYNTHETIC_CFL_2023_W17_SSK,,2023,17,CFL,,,3.0,,48.0,1.0
SYNTHETIC_CFL_2023_W18_SSK,,2023,18,CFL,,,2.0,,42.0,
SYNTHETIC_CFL_2023_W19_SSK,,2023,19,CFL,,,1.0,,146.0,
SYNTHETIC_CFL_2023_W20_SSK,,2023,20,CFL,,,2.0,,79.0,1.0
SYNTHETIC_CFL_2024_W1_SSK,,2024,1,CFL,,,4.0,,,
SYNTHETIC_CFL_2024_W2_SSK,,2024,2,CFL,,,2.0,,172.0,
SYNTHETIC_CFL_2024_W3_SSK,,2024,3,CFL,,,4.0,,50.0,
SYNTHETIC_CFL_2024_W5_SSK,,2024,5,CFL,,,3.0,,87.0,
SYNTHETIC_CFL_2024_W6_SSK,,2024,6,CFL,,,2.0,,37.0,
SYNTHETIC_CFL_2024_W7_SSK,,2024,7,CFL,,,1.0,,132.0,
SYNTHETIC_CFL_2024_W8_SSK,,2024,8,CFL,,,1.0,,87.0,
SYNTHETIC_CFL_2024_W9_SSK,,2024,9,CFL,,,3.0,,37.0,
SYNTHETIC_CFL_2024_W10_SSK,,2024,10,CFL,,,1.0,,113.0,
SYNTHETIC_CFL_2024_W11_SSK,,2024,11,CFL,,,2.0,,90.0,
SYNTHETIC_CFL_2024_W12_SSK,,2024,12,CFL,,,1.0,,163.0,
SYNTHETIC_CFL_2024_W13_SSK,,2024,13,CFL,,,3.0,,80.0,
SYNTHETIC_CFL_2024_W14_SSK,,2024,14,CFL,,,2.0,,85.0,
SYNTHETIC_CFL_2024_W16_SSK,,2024,16,CFL,,,4.0,,105.0,
SYNTHETIC_CFL_2024_W17_SSK,,2024,17,CFL,,,,,227.0,
SYNTHETIC_CFL_2024_W18_SSK,,2024,18,CFL,,,2.0,,63.0,
SYNTHETIC_CFL_2024_W19_SSK,,2024,19,CFL,,,3.0,,193.0,
SYNTHETIC_CFL_2024_W21_SSK,,2024,21,CFL,,,,,79.0,
SYNTHETIC_CFL_2025_W1_SSK,,2025,1,CFL,,,4.0,,18.0,
SYNTHETIC_CFL_2025_W2_SSK,,2025,2,CFL,,,1.0,,65.0,
SYNTHETIC_CFL_2025_W3_SSK,,2025,3,CFL,,,6.0,,16.0,
SYNTHETIC_CFL_2025_W4_SSK,,2025,4,CFL,,,2.0,,163.0,
SYNTHETIC_CFL_2025_W6_SSK,,2025,6,CFL,,,1.0,,47.0,
SYNTHETIC_CFL_2025_W7_SSK,,2025,7,CFL,,,3.0,,123.0,
SYNTHETIC_CFL_2025_W8_SSK,,2025,8,CFL,,,2.0,,97.0,
SYNTHETIC_CFL_2025_W9_SSK,,2025,9,CFL,,,3.0,,129.0,
SYNTHETIC_CFL_2025_W11_SSK,,2025,11,CFL,,,1.0,,73.0,
SYNTHETIC_CFL_2025_W12_SSK,,2025,12,CFL,,,1.0,,,
SYNTHETIC_CFL_2025_W13_SSK,,2025,13,CFL,,,2.0,,34.0,
SYNTHETIC_CFL_2025_W14_SSK,,2025,14,CFL,,,,,164.0,
SYNTHETIC_CFL_2025_W15_SSK,,2025,15,CFL,,,4.0,,46.0,
SYNTHETIC_CFL_2025_W17_SSK,,2025,17,CFL,,,1.0,,74.0,
SYNTHETIC_CFL_2025_W19_SSK,,2025,19,CFL,,,,,162.0,
SYNTHETIC_CFL_2025_W20_SSK,,2025,20,CFL,,,1.0,,112.0,
SYNTHETIC_CFL_2025_W21_SSK,,2025,21,CFL,,,,2.0,72.0,
