game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,,,,,1.0,,,,,,
FOOTBALL_CFL_2022_10_15_TOR@EDM,2022-10-15,2022,1,CFL,TOR,EDM,,,,20.0,2.0,3.0,,8.0,33.0,,,
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,,,,18.0,2.0,5.0,,11.0,23.0,,,
FOOTBALL_CFL_2022_10_8_BC@TOR,2022-10-08,2022,1,CFL,BC,TOR,,,,,1.0,1.0,1.0,3.0,37.0,1.0,6.0,1.0
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,,,,,,1.0,,,,,,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,,,,34.0,3.0,4.0,,15.0,50.0,,,
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,,44.0,2.0,2.0,,16.0,48.0,,,
6241,2022-07-31,2022,8,CFL,OTT,TOR,0.0,50.0,3.0,,,,,,,,,
6247,2022-08-12,2022,10,CFL,TOR,HAM,0.0,48.0,2.0,,,,,,,,,
6277,2022-10-08,2022,18,CFL,BC,TOR,1.0,37.0,1.0,,,,,,,,,
6282,2022-10-15,2022,19,CFL,TOR,EDM,0.0,33.0,2.0,,,,,,,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,0.0,84.0,6.0,,,,,,,,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,0.0,82.0,7.0,,,,,,,,,
9889345,2023-09-23,2023,16,CFL,HAM,TOR,0.0,21.0,2.0,,,,,,,,,
9889346,2023-09-29,2023,17,CFL,TOR,WPG,0.0,58.0,4.0,,,,,,,,,
9889350,2023-10-06,2023,18,CFL,EDM,TOR,0.0,44.0,3.0,,,,,,,,,
9889357,2023-10-14,2023,19,CFL,OTT,TOR,0.0,21.0,3.0,,,,,,,,,
9889359,2023-10-21,2023,20,CFL,TOR,SSK,0.0,40.0,3.0,,,,,,,,,
9889363,2023-10-28,2023,21,CFL,TOR,OTT,0.0,34.0,4.0,,,,,,,,,
10798019,2024-06-09,2024,1,CFL,BC,TOR,,21.0,2.0,,,,,,,,,
10798026,2024-06-22,2024,3,CFL,EDM,TOR,0.0,17.0,1.0,,,,,,,,,
10798029,2024-06-28,2024,4,CFL,MTL,TOR,0.0,11.0,3.0,,,,,,,,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,0.0,23.0,4.0,,,,,,,,,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,1.0,41.0,4.0,,,,,,,,,
10798072,2024-09-13,2024,15,CFL,TOR,BC,0.0,0.0,1.0,,,,,,,,,
10798075,2024-09-20,2024,16,CFL,HAM,TOR,0.0,24.0,2.0,,,,,,,,,
10798082,2024-09-28,2024,17,CFL,MTL,TOR,0.0,0.0,0.0,,,,,,,,,
10798086,2024-10-11,2024,19,CFL,TOR,WPG,0.0,0.0,0.0,,,,,,,,,
10798094,2024-10-25,2024,21,CFL,TOR,EDM,0.0,64.0,5.0,,,,,,,,,
11824079,2025-08-02,2025,9,CFL,SSK,MTL,1.0,39.0,2.0,,,,,,,,,
11824086,2025-08-16,2025,11,CFL,HAM,SSK,1.0,39.0,4.0,,,,,,,,,
11824091,2025-08-23,2025,12,CFL,SSK,CGY,0.0,35.0,4.0,,,,,,,,,
11824092,2025-08-31,2025,13,CFL,WPG,SSK,1.0,86.0,3.0,,,,,,,,,
11824097,2025-09-06,2025,14,CFL,SSK,WPG,0.0,45.0,4.0,,,,,,,,,
11824102,2025-09-13,2025,15,CFL,MTL,SSK,0.0,59.0,4.0,,,,,,,,,
11824110,2025-09-27,2025,17,CFL,SSK,EDM,1.0,64.0,6.0,,,,,,,,,
11824111,2025-10-03,2025,18,CFL,SSK,OTT,0.0,23.0,1.0,,,,,,,,,
11824114,2025-10-10,2025,19,CFL,TOR,SSK,1.0,39.0,3.0,,,,,,,,,
11824118,2025-10-17,2025,20,CFL,SSK,WPG,0.0,31.0,3.0,,,,,,,,,
11824125,2025-10-25,2025,21,CFL,BC,SSK,0.0,75.0,8.0,,,,,,,,,
