game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
STORM-FIREBIRDS,,,2,,,,4.0,89.0,6.0,,
ALBANY-SALINA-0406,0406,,3,,ALBANY,SALINA,245.0,6608.0,469.0,0.0,1824.0
BILLINGS-ALBANY-0413,0413,,3,,BILLINGS,ALBANY,187.0,9872.0,893.0,,
KATS-FIREBIRDS-0329,0329,,3,,KATS,FIREBIRDS,2.0,55.0,5.0,,
CORPUSCHRISTI-ALBANY-0425,0425,,7,,CORPUSCHRISTI,ALBANY,3.0,48.0,4.0,,
ALBANY-SALINA-0504,0504,,8,,ALBANY,SALINA,5.0,132.0,9.0,,
ALBANY-NASHVILLE-0510,0510,,9,,ALBANY,NASHVILLE,4.0,144.0,9.0,,
CORPUSCHRISTI-ALBANY-0524,0524,,11,,CORPUSCHRISTI,ALBANY,3.0,113.0,8.0,,
WASHINGTON-ALBANY-0614,0614,,14,,WASHINGTON,ALBANY,3.0,89.0,4.0,,
SALINA-ALBANY-0621,0621,,15,,SALINA,ALBANY,2.0,98.0,8.0,,
NASHVILLE-ALBANY-0628,0628,,16,,NASHVILLE,ALBANY,1.0,45.0,4.0,,
