game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,pat_made,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_UFL_2024_6_2_HOU@MEM,2024-06-02,2024,10,UFL,HOU,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_NAL_2025_3_14_T425358G979254@T425361,2025-03-15,2025,2,NAL,Idaho Horsemen,Sioux City Bandits,,250.0,,,,,,,1.0,,,,,,,,,8.0,2.0,6.0,29.0,13.0,1.0,1.0,0.0,0.0,26.0,8.0,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_4_27_HOU@SA,2025-04-27,2025,5,UFL,HOU,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,,625.0,,,,,,,0.0,,,,,,,,,16.0,10.0,6.0,30.0,13.0,128.0,2.0,4.0,250.0,130.0,15.0,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_3_MEM@HOU,2025-05-03,2025,6,UFL,MEM,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425358G979269@T425357,2025-04-20,2025,7,NAL,Idaho Horsemen,Colorado Spartans,,294.0,1.0,0.0,0.0,0.0,,,2.0,,0.0,0.0,0.0,,,,,17.0,5.0,12.0,10.0,8.0,0.0,4.0,0.0,0.0,39.0,31.0,,,,,,,-1.0,1.0,,2.0,1.0,0.0,-1.0,,
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,2.0,,,,,,,,,3.0,,,,10.7,14.0,0.0,32.0,,,,,,,,,,,,,7.8,12.0,3.0,47.0,6.0,5.0,5.0,,1.0,,0.0,5.0,0.0,2.0
FOOTBALL_IFL_2026_4_4_TTUCSONSUGARSKULLSG202604045N9L@TNEWMEXICOCHUPACABRAS,2026-04-04,2026,4,IFL,Tucson Sugar Skulls,New Mexico Chupacabras,0.0,,,,,,,,,4.0,,,,14.0,20.0,0.0,56.0,,,,,,,,,,,,,7.3,15.0,2.0,29.0,4.0,-0.5,2.0,,2.0,,0.0,-1.0,1.0,1.0
FOOTBALL_IFL_2026_4_11_TNAZWRANGLERSG2026041170L8@TNEWMEXICOCHUPACABRAS,2026-04-11,2026,5,IFL,NAZ Wranglers,New Mexico Chupacabras,0.0,,,,,,,,,1.0,,,,15.0,15.0,0.0,15.0,,,,,,,,,,,,,14.3,20.0,1.0,86.0,6.0,4.0,6.0,,2.0,,0.0,8.0,1.0,1.0
FOOTBALL_IFL_2026_4_25_TNEWMEXICOCHUPACABRASG20260425GFZ9@TVEGASKNIGHTHAWKS,2026-04-25,2026,7,IFL,New Mexico Chupacabras,Vegas Knight Hawks,0.0,,,,,,,,,2.0,,,,14.5,17.0,0.0,29.0,,,,,,,,,,,,,13.0,28.0,1.0,91.0,7.0,,,,,,,,1.0,1.0
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,23.0,1.0,48.0,5.0,3.7,7.0,,3.0,,0.0,11.0,,
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,6.8,25.0,1.0,34.0,5.0,,,,,,,,1.0,2.0
