game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W1_STALLIONS,,2024,1,UFL,,,,3.0,1.0,,1.0,201.0,0.0,25.0
SYNTHETIC_UFL_2024_W2_STALLIONS,,2024,2,UFL,,,,1.0,1.0,,0.0,53.0,0.0,28.0
SYNTHETIC_UFL_2024_W4_STALLIONS,,2024,4,UFL,,,,,0.0,1.0,1.0,240.0,0.0,51.0
SYNTHETIC_UFL_2024_W11_STALLIONS,,2024,11,UFL,,,1.0,,1.0,,2.0,120.0,0.0,2.0
SYNTHETIC_UFL_2025_W2_STALLIONS,,2025,2,UFL,,,,,2.0,,1.0,198.0,0.0,15.0
SYNTHETIC_UFL_2025_W3_STALLIONS,,2025,3,UFL,,,1.0,,1.0,,1.0,255.0,0.0,24.0
SYNTHETIC_UFL_2025_W4_STALLIONS,,2025,4,UFL,,,,1.0,1.0,,2.0,195.0,0.0,52.0
SYNTHETIC_UFL_2026_W1_ORLANDOSTORM,,2026,1,UFL,,,,,0.0,,1.0,208.0,0.0,3.0
SYNTHETIC_UFL_2026_W2_ORLANDOSTORM,,2026,2,UFL,,,,,2.0,,2.0,226.0,0.0,8.0
SYNTHETIC_UFL_2026_W3_ORLANDOSTORM,,2026,3,UFL,,,,,2.0,,2.0,252.0,0.0,-1.0
SYNTHETIC_UFL_2026_W4_ORLANDOSTORM,,2026,4,UFL,,,,,0.0,,0.0,83.0,0.0,-1.0
