game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,interceptions_lost,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_tds,passing_yards,passing_yds_lost,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
FOOTBALL_AF1_2026_4_12_T584761G1168201@T612138,2026-04-13,2026,1,AF1,Beaumont Renegades,Oceanside Bombers,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,41.0,21.0,26.0,12.0,0.0,100.0,2.0,5.0,,252.0,0.0,5.0,8.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0
FOOTBALL_AF1_2026_4_18_T584635G1168204@T584761,2026-04-18,2026,2,AF1,Albany Firebirds,Beaumont Renegades,,609.0,,,,,,,,2.0,,23.0,14.0,23.0,3.0,0.0,29.0,0.0,0.0,,46.0,0.0,18.0,29.0,0.0,3.0,0.0,1.0,53.0,,
SYNTHETIC_50YARD_2026_W2_BEAUMONTRENEGADES,2026-05-09,2026,2,50YARD,Washington Wolfpack,Beaumont Renegades,,,,,,,,,,,1.0,,,,,,,,,1.0,49.0,,,,,,,1.0,-13.0,,
FOOTBALL_AF1_2026_5_9_T584641G1168216@T584761,2026-05-09,2026,5,AF1,Washington Wolfpack,Beaumont Renegades,,421.0,,,,,,,,1.0,,19.0,8.0,19.0,6.0,0.0,45.0,0.0,1.0,,49.0,0.0,-3.0,3.0,0.0,4.0,0.0,1.0,-13.0,,
