game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,7.0,7.0,,5.0,,10.0,12.0,9.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,9.0,10.0,48.0,12.0,12.0,16.0,64.0,15.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,10.0,10.0,67.0,14.0,18.0,23.0,65.0,11.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,2.0,5.0,31.0,5.0,9.0,8.0,32.0,4.0
