game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,16.0,0.0,22.0,6.0,6.0,0.0,0.0,6.0,1.0,4.0,9.0,2.0,0.0,0.0,7.0,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,,,,,,,,1.0,1.0,1.0,0.0,1.0,9.0,17.0,0.0,1.0,34.0,4.0,5.0,22.0,8.0,0.0,2.0,39.0,,,,,,
FOOTBALL_NAL_2026_3_14_T570667G1127141@T581933,2026-03-15,2026,2,NAL,Colorado Spartans,Dallas Bulls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12.0,27.0,0.0,1.0,47.0,4.0,-2.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_3_21_T581933G1127143@T577047,2026-03-22,2026,3,NAL,Dallas Bulls,Pueblo Punishers,,,,,,,,1.0,12.0,12.0,0.0,12.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,8.0,4.0,0.0,0.0,8.0,,,,,,
FOOTBALL_IFL_2026_4_4_TTUCSONSUGARSKULLSG202604045N9L@TNEWMEXICOCHUPACABRAS,2026-04-04,2026,4,IFL,Tucson Sugar Skulls,New Mexico Chupacabras,,,,,,,,,,,,,19.0,26.0,,1.0,57.0,3.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_11_TSANDIEGOSTRIKEFORCEG202604116LJB@TTUCSONSUGARSKULLS,2026-04-11,2026,5,IFL,San Diego Strike Force,Tucson Sugar Skulls,1.0,,,,,,,,,,,,18.0,24.0,,1.0,54.0,3.0,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_4_19_TNEWMEXICOCHUPACABRASG20260419817Y@TTUCSONSUGARSKULLS,2026-04-19,2026,6,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,0.0,,,,,,,,,,,,14.5,18.0,,1.0,29.0,2.0,-5.0,0.0,1.0,,0.0,-5.0,,,1.0,1.0,,
FOOTBALL_IFL_2026_4_26_TTUCSONSUGARSKULLSG202604264V0I@TSANDIEGOSTRIKEFORCE,2026-04-26,2026,7,IFL,Tucson Sugar Skulls,San Diego Strike Force,,,,,,,,,,,,,5.0,5.0,,0.0,5.0,1.0,11.0,21.0,2.0,,0.0,22.0,,,,,,
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,0.0,,,,,,,,,,,,12.0,17.0,,0.0,24.0,2.0,,,,,,,,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_5_15_TTUCSONSUGARSKULLSG20260515CE9O@TQUADCITYSTEAMWHEELERS,2026-05-15,2026,10,IFL,Tucson Sugar Skulls,Quad City Steamwheelers,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,,0.0,6.0,,,,,,
FOOTBALL_IFL_2026_5_30_TORLANDOPIRATESG20260530J4E8@TTUCSONSUGARSKULLS,2026-05-30,2026,12,IFL,Orlando Pirates,Tucson Sugar Skulls,,,,,,,,,,,,,26.7,29.0,,2.0,80.0,3.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_6_7_TNEWMEXICOCHUPACABRASG20260607JMSK@TTUCSONSUGARSKULLS,2026-06-07,2026,13,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,,,,,,,,,,,,,33.3,42.0,,2.0,100.0,3.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_6_13_TTUCSONSUGARSKULLSG20260613XZNU@TVEGASKNIGHTHAWKS,2026-06-13,2026,14,IFL,Tucson Sugar Skulls,Vegas Knight Hawks,,,,,,,,,,,,,15.5,22.0,,1.0,31.0,2.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_6_20_TARIZONARATTLERSG20260620GMCA@TTUCSONSUGARSKULLS,2026-06-20,2026,15,IFL,Arizona Rattlers,Tucson Sugar Skulls,,,,,,,,,,,,,10.3,16.0,,0.0,31.0,3.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_6_28_TTUCSONSUGARSKULLSG20260628EKGP@TNAZWRANGLERS,2026-06-28,2026,16,IFL,Tucson Sugar Skulls,NAZ Wranglers,,,,,,,,,,,,,10.0,14.0,,1.0,20.0,2.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_7_19_TNAZWRANGLERSG20260719SJ7Z@TTUCSONSUGARSKULLS,2026-07-19,2026,19,IFL,NAZ Wranglers,Tucson Sugar Skulls,,,,,,,,,,,,,10.0,12.0,,1.0,40.0,4.0,1.0,1.0,1.0,,0.0,1.0,,,,,,
FOOTBALL_IFL_2026_7_24_TTUCSONSUGARSKULLSG20260724I0UY@TSANDIEGOSTRIKEFORCE,2026-07-24,2026,20,IFL,Tucson Sugar Skulls,San Diego Strike Force,1.0,,,,,,,,,,,,10.5,12.0,,0.0,21.0,2.0,9.0,9.0,1.0,,0.0,9.0,,,0.0,1.0,,
