game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,8.0,1.0,17.0,33.0,1.0,97.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,,1.0,,
