game_id,date,season,week,league,away,home,def_solo,def_tot,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,misc_fum,misc_lost,pr_fc,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_num,ret_yds,rush_att,rush_attempts,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_tot,targets
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,,,,,,,,,,,,,5.0,6.0,1.0,14.0,99.0,,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,,,,,,,,,,,,,1.0,3.0,1.0,,18.0,,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,,,,,,,,,,,,,27.0,4.0,4.0,1.0,,60.0,,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,,,,,,,,,,,12.0,6.0,7.0,,21.0,45.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_11_10_EDM@MTL,2019-11-10,2019,1,CFL,EDM,MTL,,,,,,,,,,,,,,50.0,2.0,3.0,,22.0,58.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_2_10_MEM@BIR,2019-02-10,2019,1,CFL,MEM,BIR,,,,,,,,,,,,,,,,1.0,,,,1.0,12.0,4.0,32.0,,,,,,,,,,
FOOTBALL_CFL_2019_2_16_SL@BIR,2019-02-16,2019,1,CFL,SL,BIR,,,,,,,,1.0,1.0,,,,,,,1.0,,,,2.0,11.0,3.0,19.0,,,,,,,,,,
FOOTBALL_CFL_2019_2_24_BIR@ATL,2019-02-24,2019,1,CFL,BIR,ATL,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,3.0,3.0,,,,,,
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,,,,,,,,,,,,,,,5.0,6.0,1.0,36.0,134.0,,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_7_20_EDM@MTL,2019-07-20,2019,1,CFL,EDM,MTL,,,,,,,,,,,,,,11.0,5.0,8.0,,7.0,37.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_4_HAM@MTL,2019-07-04,2019,1,CFL,HAM,MTL,,,,,,,,,,,,,,16.0,8.0,11.0,,23.0,54.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,1.0,1.0,,,,,,,,,,,,10.0,2.0,6.0,,7.0,17.0,,,,,2.0,,12.0,18.0,,,,,,
FOOTBALL_CFL_2019_8_25_MTL@TOR,2019-08-25,2019,1,CFL,MTL,TOR,1.0,1.0,,,,,,,,,,,,,5.0,6.0,1.0,14.0,91.0,,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,,,,,,,,,,,,,16.0,6.0,9.0,,36.0,50.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_9_SSK@MTL,2019-08-09,2019,1,CFL,SSK,MTL,,,,,,,,,,,,,,13.0,1.0,3.0,,,13.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_14_MTL@SSK,2019-09-14,2019,1,CFL,MTL,SSK,,,,,,,,,,,,,,32.0,4.0,6.0,,7.0,73.0,,28.0,1.0,28.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_21_WPG@MTL,2019-09-21,2019,1,CFL,WPG,MTL,,,,,,,,,,,,,,60.0,2.0,3.0,,34.0,91.0,,17.0,1.0,17.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,,,,,,,,,,,,1.0,,,,,13.0,5.0,34.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,,,,,,,,,,13.0,3.0,3.0,1.0,5.0,24.0,,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,,,0.0,1.0,1.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,0.0,3.0,,,,1.0
SYNTHETIC_CFL_2023_W1_OTT,2023-06-10,2023,1,CFL,OTT,MTL,,,,,,,,,,,0.0,58.0,3.0,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W2_OTT,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,,,,,0.0,95.0,4.0,,,,,,,,,,,,,,,,,,,,
