game_id,date,season,week,league,away,home,interceptions_made,sacks,tackles
SYNTHETIC_CFL_2023_W11_HAM,,2023,11,CFL,,,0.0,0.0,2.0
SYNTHETIC_CFL_2023_W12_HAM,,2023,12,CFL,,,0.0,0.0,1.0
SYNTHETIC_CFL_2023_W13_HAM,,2023,13,CFL,,,0.0,0.0,4.0
SYNTHETIC_CFL_2023_W14_HAM,,2023,14,CFL,,,0.0,0.0,6.0
SYNTHETIC_CFL_2023_W15_HAM,,2023,15,CFL,,,1.0,0.0,2.0
SYNTHETIC_CFL_2023_W16_HAM,,2023,16,CFL,,,0.0,0.0,3.0
SYNTHETIC_CFL_2023_W17_HAM,,2023,17,CFL,,,0.0,0.0,3.0
SYNTHETIC_CFL_2023_W18_HAM,,2023,18,CFL,,,0.0,0.0,3.0
SYNTHETIC_CFL_2023_W19_HAM,,2023,19,CFL,,,0.0,1.0,1.0
SYNTHETIC_CFL_2024_W1_SSK,,2024,1,CFL,,,0.0,0.0,1.0
