game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,10.0,301.0,187.0,5.0,34.0,2603.0,,,28.0,,142.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,333.0,213.0,5.0,40.0,2787.0,2.0,46.0,57.0,4.0,291.0
