game_id,date,season,week,league,away,home,assist_tackles,def_ast,def_sack,def_solo,def_tot,def_ydsl,int_avg,int_long,int_tds,int_yards,interceptions_made,solo_tackles
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,,,1.0,1.0,1.0,1.0,,,,,,
FOOTBALL_CFL_2019_2_17_ATL@SD,2019-02-17,2019,1,CFL,ATL,SD,,1.0,0.5,1.0,2.0,0.5,,,,,,
FOOTBALL_CFL_2019_2_24_BIR@ATL,2019-02-24,2019,1,CFL,BIR,ATL,,,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2019_3_10_MEM@ATL,2019-03-10,2019,1,CFL,MEM,ATL,,1.0,,1.0,2.0,,,,,,,
FOOTBALL_CFL_2019_3_17_SA@ATL,2019-03-17,2019,1,CFL,SA,ATL,,2.0,,1.0,3.0,,,,,,,
FOOTBALL_CFL_2019_3_23_ORL@ATL,2019-03-23,2019,1,CFL,ORL,ATL,,3.0,,1.0,4.0,,,,,,,
FOOTBALL_CFL_2019_3_31_ATL@BIR,2019-03-31,2019,1,CFL,ATL,BIR,,1.0,,,1.0,,,,,,,
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,,,1.0,4.0,4.0,8.0,,,,,,
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,2.0
FOOTBALL_AAF_2019_3_10_MEM@ATL,2019-03-10,2019,5,AAF,MEM,ATL,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
FOOTBALL_AAF_2019_3_23_ORL@ATL,2019-03-23,2019,7,AAF,ORL,ATL,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
