game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,15.0,52.0,2.0,521.0,9.0,15.0,1.0,92.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,12.0,60.0,4.0,932.0,2.0,12.0,,12.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,15.0,78.0,3.0,1011.0,2.0,15.0,,2.0
