game_id,date,season,week,league,away,home,fumble_recoveries,receiving_yards,receptions
xiptxdmw9n9f9hb5,2026-05-02,2026,1,50 Yard,Green Bay Blizzard,Fishers Freight,0.0,,
SYNTHETIC_50YARD_2026_W2_FISHERSFREIGHT,2026-05-09,2026,2,50YARD,Fishers Freight,Orlando Pirates,,11.0,1.0
