game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_WPG,,,1,CFL,,,1.0,,0.0,209.0,,
SYNTHETIC_CFL_W2_WPG,,,2,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W3_WPG,,,3,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W4_WPG,,,4,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W5_WPG,,,5,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W6_WPG,2022-07-15,,6,CFL,CGY,WPG,1.0,,2.0,354.0,,
SYNTHETIC_CFL_W7_WPG,2022-07-22,,7,CFL,WPG,EDM,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W8_WPG,2022-07-30,,8,CFL,WPG,CGY,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W9_WPG,2022-08-04,,9,CFL,WPG,MTL,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W10_WPG,2022-08-11,,10,CFL,MTL,WPG,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W11_WPG,,,11,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W12_WPG,2022-08-25,,12,CFL,CGY,WPG,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W13_WPG,2022-09-04,,13,CFL,WPG,SSK,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W14_WPG,2022-09-10,,14,CFL,SSK,WPG,0.0,,5.0,340.0,,
SYNTHETIC_CFL_W15_WPG,2022-09-17,,15,CFL,WPG,HAM,3.0,,2.0,344.0,,
SYNTHETIC_CFL_W16_WPG,,,16,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W17_WPG,2022-09-30,,17,CFL,SSK,WPG,1.0,,1.0,258.0,,
SYNTHETIC_CFL_W18_WPG,2022-10-08,,18,CFL,EDM,WPG,1.0,,2.0,389.0,,
SYNTHETIC_CFL_W19_WPG,2022-10-15,,19,CFL,WPG,BC,0.0,,0.0,46.0,,
SYNTHETIC_CFL_W20_WPG,,,20,CFL,,,0.0,,3.0,219.0,,
SYNTHETIC_CFL_W21_WPG,2022-10-28,,21,CFL,BC,WPG,0.0,,2.0,278.0,,
SYNTHETIC_CFL_2023_W1_WPG,2023-06-09,2023,1,CFL,HAM,WPG,,1.0,3.0,354.0,,6.0
SYNTHETIC_CFL_2023_W3_WPG,2023-06-22,2023,3,CFL,BC,WPG,,,,214.0,,3.0
SYNTHETIC_CFL_2023_W4_WPG,2023-07-01,2023,4,CFL,WPG,MTL,1.0,,2.0,177.0,,4.0
SYNTHETIC_CFL_2023_W5_WPG,2023-07-07,2023,5,CFL,CGY,WPG,,,2.0,231.0,,
SYNTHETIC_CFL_2023_W6_WPG,2023-07-15,2023,6,CFL,WPG,OTT,1.0,,2.0,354.0,,
SYNTHETIC_CFL_2023_W7_WPG,2023-07-20,2023,7,CFL,EDM,WPG,1.0,,2.0,308.0,,
SYNTHETIC_CFL_2023_W9_WPG,2023-08-03,2023,9,CFL,BC,WPG,1.0,,4.0,447.0,,
SYNTHETIC_CFL_2023_W10_WPG,2023-08-10,2023,10,CFL,WPG,EDM,1.0,,4.0,313.0,,
SYNTHETIC_CFL_2023_W11_WPG,2023-08-18,2023,11,CFL,WPG,CGY,,,,171.0,,
SYNTHETIC_CFL_2023_W12_WPG,2023-08-24,2023,12,CFL,MTL,WPG,3.0,,4.0,251.0,,21.0
SYNTHETIC_CFL_2023_W13_WPG,2023-09-03,2023,13,CFL,WPG,SSK,1.0,,2.0,279.0,,5.0
SYNTHETIC_CFL_2023_W14_WPG,2023-09-09,2023,14,CFL,SSK,WPG,,,5.0,340.0,,20.0
SYNTHETIC_CFL_2023_W15_WPG,2023-09-16,2023,15,CFL,WPG,HAM,3.0,,2.0,344.0,1.0,5.0
SYNTHETIC_CFL_2023_W17_WPG,2023-09-29,2023,17,CFL,TOR,WPG,1.0,,1.0,258.0,,
SYNTHETIC_CFL_2023_W18_WPG,2023-10-06,2023,18,CFL,WPG,BC,1.0,,2.0,404.0,,34.0
SYNTHETIC_CFL_2023_W20_WPG,2023-10-21,2023,20,CFL,EDM,WPG,,,3.0,219.0,,2.0
SYNTHETIC_CFL_2023_W21_WPG,2023-10-27,2023,21,CFL,WPG,CGY,,,2.0,306.0,1.0,25.0
SYNTHETIC_CFL_2024_W1_WPG,2024-05-20,2024,1,CFL,WPG,SSK,1.0,,,209.0,,37.0
SYNTHETIC_CFL_2024_W2_WPG,2024-06-13,2024,2,CFL,WPG,OTT,2.0,,0.0,285.0,1.0,11.0
SYNTHETIC_CFL_2024_W3_WPG,2024-06-21,2024,3,CFL,BC,WPG,0.0,,0.0,247.0,3.0,24.0
SYNTHETIC_CFL_2024_W4_WPG,2024-06-29,2024,4,CFL,WPG,CGY,2.0,,1.0,225.0,0.0,27.0
SYNTHETIC_CFL_2024_W5_WPG,2024-07-05,2024,5,CFL,OTT,WPG,0.0,,0.0,127.0,1.0,79.0
SYNTHETIC_CFL_2024_W6_WPG,2024-07-12,2024,6,CFL,CGY,WPG,2.0,,2.0,344.0,1.0,7.0
SYNTHETIC_CFL_2024_W7_WPG,2024-07-19,2024,7,CFL,WPG,SSK,1.0,,0.0,266.0,0.0,16.0
SYNTHETIC_CFL_2024_W8_WPG,2024-07-27,2024,8,CFL,WPG,TOR,1.0,,1.0,317.0,0.0,19.0
SYNTHETIC_CFL_2024_W9_WPG,2024-08-01,2024,9,CFL,BC,WPG,0.0,,1.0,295.0,0.0,42.0
SYNTHETIC_CFL_2024_W10_WPG,,2024,10,CFL,,,0.0,,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W11_WPG,2024-08-18,2024,11,CFL,WPG,BC,1.0,,1.0,288.0,1.0,16.0
SYNTHETIC_CFL_2024_W12_WPG,2024-08-23,2024,12,CFL,HAM,WPG,3.0,,1.0,177.0,0.0,28.0
SYNTHETIC_CFL_2024_W13_WPG,2024-09-01,2024,13,CFL,WPG,SSK,1.0,,1.0,264.0,2.0,21.0
