game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,sacks,tackles
SYNTHETIC_CFL_W1_HAM,,,1,CFL,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W6_HAM,2022-07-16,,6,CFL,OTT,HAM,,,,,0.0,39.0,1.0,,
SYNTHETIC_CFL_W15_HAM,2022-09-17,,15,CFL,WPG,HAM,,,,,0.0,66.0,3.0,,
SYNTHETIC_CFL_W19_HAM,2022-10-14,,19,CFL,HAM,CGY,,,,,0.0,33.0,1.0,,
SYNTHETIC_CFL_W20_HAM,2022-10-21,,20,CFL,OTT,HAM,,,,,0.0,25.0,2.0,,
SYNTHETIC_CFL_2023_W1_HAM,2023-06-09,2023,1,CFL,HAM,WPG,,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W3_HAM,2023-06-23,2023,3,CFL,MTL,HAM,,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W6_HAM,2023-07-13,2023,6,CFL,HAM,EDM,,,,,0.0,7.0,1.0,,
SYNTHETIC_CFL_2023_W7_HAM,2023-07-21,2023,7,CFL,TOR,HAM,,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W8_HAM,2023-07-28,2023,8,CFL,HAM,OTT,,,,,0.0,11.0,1.0,,
SYNTHETIC_CFL_2023_W11_HAM,2023-08-17,2023,11,CFL,EDM,HAM,,,,,0.0,6.0,1.0,,
SYNTHETIC_CFL_2023_W13_HAM,2023-09-04,2023,13,CFL,TOR,HAM,,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W14_HAM,2023-09-08,2023,14,CFL,HAM,OTT,,0.0,,,0.0,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2023_W16_HAM,2023-09-23,2023,16,CFL,HAM,TOR,,0.0,,,0.0,17.0,2.0,0.0,0.0
SYNTHETIC_CFL_2023_W17_HAM,2023-09-30,2023,17,CFL,CGY,HAM,0.0,0.0,0.0,0.0,,,,0.0,0.0
SYNTHETIC_CFL_2023_W19_HAM,2023-10-13,2023,19,CFL,BC,HAM,,,,,0.0,13.0,1.0,,
SYNTHETIC_CFL_2024_W1_HAM,2024-06-07,2024,1,CFL,HAM,CGY,,0.0,,,,,,0.0,1.0
SYNTHETIC_CFL_2024_W11_HAM,2024-08-17,2024,11,CFL,EDM,HAM,,,,,0.0,2.0,1.0,,
