game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202205130WAS,2022-05-13,2022,1,WNBA,DAL,WAS,3.0,,5.0,,,,0.556,9.0,5.0,1.0,0.833,6.0,5.0,29.3,5.0,1.0,15.0,10.0,1.0,
WNBA_202205150NYL,2022-05-15,2022,1,WNBA,DAL,NYL,2.0,1.0,4.0,,,,0.467,15.0,7.0,3.0,1.0,4.0,4.0,28.4,2.0,11.0,18.0,6.0,,2.0
WNBA_202205170DAL,2022-05-17,2022,1,WNBA,WAS,DAL,1.0,,5.0,,,,0.6,10.0,6.0,2.0,1.0,4.0,4.0,32.63333333333333,,5.0,16.0,5.0,1.0,1.0
WNBA_202205190PHO,2022-05-19,2022,1,WNBA,DAL,PHO,2.0,1.0,4.0,,,,0.25,8.0,2.0,5.0,1.0,2.0,2.0,27.683333333333334,,8.0,6.0,4.0,,1.0
WNBA_202205210DAL,2022-05-21,2022,1,WNBA,MIN,DAL,3.0,1.0,3.0,,,,0.333,6.0,2.0,4.0,0.5,4.0,2.0,21.6,1.0,13.0,6.0,4.0,4.0,1.0
WNBA_202205240CON,2022-05-24,2022,1,WNBA,DAL,CON,2.0,,4.0,,,,0.333,9.0,3.0,2.0,1.0,3.0,3.0,26.316666666666666,4.0,11.0,9.0,8.0,,1.0
WNBA_202205260CON,2022-05-26,2022,1,WNBA,DAL,CON,,,3.0,,,,0.5,4.0,2.0,4.0,,,,17.766666666666666,4.0,-26.0,4.0,7.0,2.0,3.0
WNBA_202205310LAS,2022-05-31,2022,1,WNBA,DAL,LAS,2.0,,4.0,1.0,1.0,1.0,0.538,13.0,7.0,1.0,0.714,7.0,5.0,24.9,4.0,1.0,20.0,8.0,3.0,2.0
WNBA_202206030SEA,2022-06-03,2022,1,WNBA,DAL,SEA,,,3.0,,,,0.25,8.0,2.0,2.0,,,,16.983333333333334,2.0,6.0,4.0,5.0,,2.0
WNBA_202206050LVA,2022-06-05,2022,1,WNBA,DAL,LVA,1.0,,,,,,0.25,4.0,1.0,,0.5,2.0,1.0,15.216666666666667,4.0,-6.0,3.0,4.0,,2.0
WNBA_202206100DAL,2022-06-10,2022,1,WNBA,SEA,DAL,2.0,,6.0,1.0,1.0,1.0,0.7,10.0,7.0,4.0,0.8,5.0,4.0,25.483333333333334,,6.0,19.0,6.0,3.0,2.0
WNBA_202206120DAL,2022-06-12,2022,1,WNBA,SEA,DAL,,,4.0,,,,0.222,9.0,2.0,1.0,,,,18.7,1.0,-4.0,4.0,5.0,1.0,4.0
WNBA_202206150DAL,2022-06-15,2022,1,WNBA,LVA,DAL,2.0,,6.0,,,,0.5,10.0,5.0,5.0,1.0,2.0,2.0,17.583333333333332,4.0,2.0,12.0,10.0,,
WNBA_202206170DAL,2022-06-17,2022,1,WNBA,PHO,DAL,3.0,,2.0,,,,0.75,8.0,6.0,1.0,1.0,4.0,4.0,24.0,,1.0,16.0,2.0,1.0,
WNBA_202206190DAL,2022-06-19,2022,1,WNBA,LAS,DAL,1.0,,1.0,,,,0.25,8.0,2.0,3.0,1.0,2.0,2.0,23.683333333333334,1.0,1.0,6.0,2.0,,1.0
WNBA_202206210ATL,2022-06-21,2022,1,WNBA,DAL,ATL,3.0,,2.0,,,,0.2,5.0,1.0,6.0,1.0,4.0,4.0,20.083333333333332,,-1.0,6.0,2.0,2.0,1.0
WNBA_202206230DAL,2022-06-23,2022,1,WNBA,IND,DAL,1.0,,2.0,,,,0.75,8.0,6.0,,1.0,4.0,4.0,16.95,1.0,10.0,16.0,3.0,,1.0
WNBA_202206250DAL,2022-06-25,2022,1,WNBA,PHO,DAL,2.0,,9.0,,,,0.5,10.0,5.0,5.0,0.625,8.0,5.0,28.483333333333334,1.0,-15.0,15.0,10.0,,2.0
WNBA_202206280MIN,2022-06-28,2022,1,WNBA,DAL,MIN,1.0,,7.0,,,,,3.0,,2.0,1.0,6.0,6.0,17.3,1.0,-12.0,6.0,8.0,,1.0
WNBA_202207010DAL,2022-07-01,2022,1,WNBA,LAS,DAL,2.0,,1.0,,,,0.25,4.0,1.0,2.0,1.0,2.0,2.0,8.6,1.0,-8.0,4.0,2.0,,
WNBA_202207050DAL,2022-07-05,2022,1,WNBA,CON,DAL,2.0,,3.0,,,,0.5,4.0,2.0,1.0,,,,13.183333333333334,1.0,4.0,4.0,4.0,,
WNBA_202207120SEA,2022-07-12,2022,1,WNBA,DAL,SEA,1.0,,2.0,,,,0.4,5.0,2.0,,1.0,3.0,3.0,14.1,1.0,-8.0,7.0,3.0,,2.0
WNBA_202207140MIN,2022-07-14,2022,1,WNBA,DAL,MIN,,,3.0,,,,0.625,8.0,5.0,3.0,,,,12.466666666666667,2.0,8.0,10.0,5.0,2.0,1.0
WNBA_202207160DAL,2022-07-16,2022,1,WNBA,CHI,DAL,1.0,1.0,2.0,,,,0.3,10.0,3.0,1.0,1.0,2.0,2.0,19.233333333333334,2.0,-1.0,8.0,4.0,,
WNBA_202207220CHI,2022-07-22,2022,1,WNBA,DAL,CHI,,,1.0,,,,0.8,10.0,8.0,2.0,1.0,2.0,2.0,21.6,,2.0,18.0,1.0,,1.0
WNBA_202207240IND,2022-07-24,2022,1,WNBA,DAL,IND,1.0,,3.0,,,,0.571,7.0,4.0,2.0,,,,16.816666666666666,,-6.0,8.0,3.0,,3.0
WNBA_202207280DAL,2022-07-28,2022,1,WNBA,WAS,DAL,2.0,,2.0,,,,0.143,7.0,1.0,,,,,13.466666666666667,2.0,-14.0,2.0,4.0,1.0,2.0
WNBA_202207300ATL,2022-07-30,2022,1,WNBA,DAL,ATL,1.0,,,,,,1.0,1.0,1.0,1.0,,,,3.533333333333333,,-2.0,2.0,,,2.0
WNBA_202208020CHI,2022-08-02,2022,1,WNBA,DAL,CHI,,,1.0,,,,0.5,2.0,1.0,3.0,,,,8.316666666666666,,2.0,2.0,1.0,1.0,1.0
WNBA_202208040DAL,2022-08-04,2022,1,WNBA,LVA,DAL,1.0,,2.0,,,,0.667,6.0,4.0,,,,,8.833333333333334,,6.0,8.0,2.0,,
WNBA_202208060DAL,2022-08-06,2022,1,WNBA,IND,DAL,1.0,,2.0,,,,0.833,6.0,5.0,2.0,,,,18.5,,3.0,10.0,2.0,2.0,2.0
WNBA_202208080DAL,2022-08-08,2022,1,WNBA,NYL,DAL,,,2.0,,,,0.2,5.0,1.0,1.0,,,,11.816666666666666,1.0,-9.0,2.0,3.0,,1.0
WNBA_202208100DAL,2022-08-10,2022,1,WNBA,NYL,DAL,,,,,,,1.0,2.0,2.0,,,,,4.883333333333333,,-9.0,4.0,,,1.0
WNBA_202208120PHO,2022-08-12,2022,1,WNBA,DAL,PHO,1.0,,2.0,,,,0.571,7.0,4.0,,0.667,3.0,2.0,11.683333333333334,,2.0,10.0,2.0,,1.0
WNBA_202208180CON,2022-08-18,2022,1,WNBA,DAL,CON,,,,,,,0.6,5.0,3.0,1.0,1.0,1.0,1.0,12.45,,-13.0,7.0,,,1.0
WNBA_202208210CON,2022-08-21,2022,1,WNBA,DAL,CON,1.0,,4.0,,,,0.5,6.0,3.0,1.0,,,,18.133333333333333,1.0,15.0,6.0,5.0,,
WNBA_202208240DAL,2022-08-24,2022,1,WNBA,CON,DAL,,,,,,,0.5,2.0,1.0,1.0,1.0,1.0,1.0,6.65,,,3.0,,1.0,
WNBA_202405280CHI,2024-05-28,2024,1,WNBA,SEA,CHI,1.0,,5.0,,,,0.167,6.0,1.0,,,,,10.416666666666666,,3.0,2.0,5.0,1.0,1.0
WNBA_202405300CHI,2024-05-30,2024,1,WNBA,LAS,CHI,1.0,,,,,,0.25,4.0,1.0,1.0,,,,12.35,2.0,-1.0,2.0,2.0,,
WNBA_202406010IND,2024-06-01,2024,1,WNBA,CHI,IND,,,1.0,,,,0.333,3.0,1.0,,0.333,3.0,1.0,10.466666666666667,1.0,1.0,3.0,2.0,,1.0
WNBA_202406040CHI,2024-06-04,2024,1,WNBA,NYL,CHI,,,3.0,,,,0.286,7.0,2.0,,1.0,2.0,2.0,15.95,1.0,-7.0,6.0,4.0,,1.0
WNBA_202406060WAS,2024-06-06,2024,1,WNBA,CHI,WAS,,,4.0,,1.0,,0.6,10.0,6.0,1.0,1.0,2.0,2.0,16.216666666666665,3.0,20.0,14.0,7.0,2.0,1.0
WNBA_202406080CHI,2024-06-08,2024,1,WNBA,ATL,CHI,,1.0,5.0,,,,0.667,3.0,2.0,1.0,1.0,3.0,3.0,18.6,,-13.0,7.0,5.0,1.0,2.0
WNBA_202406120CHI,2024-06-12,2024,1,WNBA,CON,CHI,1.0,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,11.45,,9.0,9.0,,1.0,2.0
WNBA_202406140WAS,2024-06-14,2024,1,WNBA,CHI,WAS,,,3.0,,,,0.5,6.0,3.0,1.0,1.0,1.0,1.0,18.133333333333333,,-4.0,7.0,3.0,2.0,1.0
WNBA_202406160IND,2024-06-16,2024,1,WNBA,CHI,IND,,,1.0,,,,0.25,4.0,1.0,2.0,0.8,5.0,4.0,12.733333333333333,1.0,,6.0,2.0,,3.0
WNBA_202406200CHI,2024-06-20,2024,1,WNBA,DAL,CHI,2.0,,1.0,,1.0,,0.25,8.0,2.0,3.0,,,,14.933333333333334,,-3.0,4.0,1.0,,
WNBA_202406230CHI,2024-06-23,2024,1,WNBA,IND,CHI,,,3.0,,1.0,,0.333,3.0,1.0,,1.0,2.0,2.0,12.316666666666666,1.0,-5.0,4.0,4.0,,2.0
WNBA_202406270CHI,2024-06-27,2024,1,WNBA,LVA,CHI,1.0,,4.0,,,,0.167,6.0,1.0,3.0,1.0,2.0,2.0,13.033333333333333,,-10.0,4.0,4.0,1.0,
WNBA_202406300CHI,2024-06-30,2024,1,WNBA,MIN,CHI,,,3.0,,,,0.2,5.0,1.0,4.0,0.5,4.0,2.0,14.283333333333333,,-8.0,4.0,3.0,2.0,2.0
WNBA_202407020ATL,2024-07-02,2024,1,WNBA,CHI,ATL,,,,,1.0,,0.286,7.0,2.0,3.0,1.0,2.0,2.0,17.1,,9.0,6.0,,,1.0
WNBA_202407050SEA,2024-07-05,2024,1,WNBA,CHI,SEA,3.0,,3.0,,1.0,,0.25,4.0,1.0,,,,,11.95,1.0,-2.0,2.0,4.0,,1.0
WNBA_202407070SEA,2024-07-07,2024,1,WNBA,CHI,SEA,1.0,2.0,2.0,1.0,1.0,1.0,0.4,10.0,4.0,1.0,1.0,2.0,2.0,20.016666666666666,2.0,-9.0,11.0,4.0,,
WNBA_202407100CHI,2024-07-10,2024,1,WNBA,ATL,CHI,1.0,,5.0,,,,0.6,5.0,3.0,1.0,,,,13.633333333333333,1.0,3.0,6.0,6.0,2.0,
WNBA_202407110NYL,2024-07-11,2024,1,WNBA,CHI,NYL,2.0,,11.0,,1.0,,0.6,10.0,6.0,1.0,,,,27.716666666666665,1.0,-9.0,12.0,12.0,,
WNBA_202407130CHI,2024-07-13,2024,1,WNBA,NYL,CHI,,1.0,,,,,,,,,,,,9.1,,3.0,,,,
WNBA_202407160LVA,2024-07-16,2024,1,WNBA,CHI,LVA,2.0,1.0,5.0,,,,0.571,7.0,4.0,,,,,13.9,1.0,-11.0,8.0,6.0,1.0,2.0
WNBA_202408150CHI,2024-08-15,2024,1,WNBA,PHO,CHI,,,,,,,0.4,5.0,2.0,2.0,1.0,1.0,1.0,17.5,2.0,-9.0,5.0,2.0,1.0,3.0
WNBA_202408170LAS,2024-08-17,2024,1,WNBA,CHI,LAS,,1.0,2.0,,1.0,,0.444,9.0,4.0,1.0,0.5,2.0,1.0,17.966666666666665,,-5.0,9.0,2.0,,
WNBA_202408180PHO,2024-08-18,2024,1,WNBA,CHI,PHO,,1.0,3.0,,1.0,,0.417,12.0,5.0,,1.0,2.0,2.0,24.633333333333333,3.0,-11.0,12.0,6.0,1.0,3.0
WNBA_202408230CON,2024-08-23,2024,1,WNBA,CHI,CON,,,1.0,,,,,,,1.0,,,,6.183333333333334,1.0,-5.0,,2.0,,3.0
WNBA_202408250CHI,2024-08-25,2024,1,WNBA,LVA,CHI,,,,,,,,2.0,,,,,,3.216666666666667,,-6.0,,,,
WNBA_202408280CHI,2024-08-28,2024,1,WNBA,WAS,CHI,1.0,,1.0,,,,0.4,5.0,2.0,,1.0,2.0,2.0,9.65,,-3.0,6.0,1.0,,
WNBA_202408300CHI,2024-08-30,2024,1,WNBA,IND,CHI,2.0,,,,1.0,,0.4,5.0,2.0,2.0,,,,11.3,,-15.0,4.0,,1.0,
