game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-28-SEA-SLC,2023-04-28,2023,1,,SEA,SLC,,1.0,11.0,7.0,3.0,1.0,1.0,8.0,1.0,158.0,53.0
2023-05-05-SLC-POR,2023-05-05,2023,2,,SLC,POR,,,7.0,6.0,,1.0,,7.0,,51.0,1.0
2023-05-06-SLC-SEA,2023-05-06,2023,2,,SLC,SEA,1.0,,,,1.0,,,,,,
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,,,4.0,3.0,,,,4.0,1.0,65.0,9.0
2023-05-19-LA-SLC,2023-05-19,2023,4,,LA,SLC,,,6.0,6.0,,1.0,,6.0,,46.0,78.0
2023-06-03-OAK-SLC,2023-06-03,2023,6,,OAK,SLC,1.0,1.0,3.0,3.0,,,,4.0,1.0,78.0,28.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,1.0,,4.0,3.0,,,,3.0,,64.0,34.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,1.0,2.0,3.0,2.0,,,,3.0,1.0,30.0,12.0
2023-06-30-SLC-LA,2023-06-30,2023,10,,SLC,LA,,,1.0,1.0,1.0,,,1.0,,19.0,49.0
2023-07-01-SLC-SD,2023-07-01,2023,10,,SLC,SD,,,,,,,1.0,,,,
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,,4.0,4.0,,1.0,,4.0,,3.0,37.0
