game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,,,,6.0,12.0,1.0,144.0,34.0,6.0,204.0
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,5.0,32.0,10.0,,,,,,,
