game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pr,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,,,,,,,25.0,4.0,,79.0,,,,,,,,,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,,,,,21.0,3.0,,51.0,2.0,8.0,,14.0,,,,,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,2.0,2.0,1.0,27.0,28.0,27.0,4.0,,67.0,1.0,16.0,,16.0,1.0,,6.0,,1.0
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,,,29.0,1.0,,29.0,,,,,,,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,,16.0,4.0,,46.0,,,,,,,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,13.0,2.0,2.0,,13.0,15.0,26.0,2.0,,48.0,4.0,3.0,,4.0,,,,,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,,,,20.0,3.0,,56.0,,,,,,,,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,,,,,,84.0,6.0,1.0,191.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,11.0,3.0,4.0,,14.0,19.0,31.0,4.0,,92.0,,,,,,,,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,15.0,2.0,2.0,,19.0,23.0,34.0,5.0,,137.0,,,,,,,,,
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,,,,,33.0,2.0,,54.0,,,,,,,,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,15.0,2.0,2.0,,26.0,27.0,17.0,1.0,,17.0,,,,,,,,,
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,8.0,2.0,2.0,,9.0,9.0,17.0,3.0,,30.0,,,,,,,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,4.0,1.0,1.0,,4.0,4.0,32.0,6.0,,124.0,,,,,,,,,
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,5.0,1.0,2.0,,1.0,5.0,32.0,5.0,1.0,96.0,2.0,3.0,,6.0,,,6.0,,1.0
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,3.0,1.0,1.0,,3.0,3.0,26.0,1.0,,26.0,,,,,,,,,
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,4.0,1.0,1.0,,4.0,4.0,29.0,5.0,1.0,114.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,8.0,1.0,1.0,,8.0,8.0,20.0,3.0,,47.0,,,,,,,,,
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,8.0,3.0,3.0,,16.0,16.0,9.0,1.0,,9.0,1.0,,1.0,13.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,,,,,25.0,4.0,,81.0,1.0,11.0,,11.0,,,,,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,2.0,1.0,1.0,,2.0,2.0,23.0,3.0,,57.0,,,,,,,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,,,,,16.0,1.0,,16.0,,,,,,,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,,,,,28.0,4.0,,89.0,3.0,16.0,,24.0,,,,,
FOOTBALL_CFL_2018_6_23_CGY@TOR,2018-06-23,2018,1,CFL,CGY,TOR,5.0,1.0,2.0,,5.0,5.0,41.0,7.0,,149.0,2.0,6.0,,2.0,,,,,
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,8.0,1.0,1.0,,8.0,8.0,28.0,3.0,,54.0,4.0,2.0,,6.0,,,,,
