game_id,date,season,week,league,away,home,completion_pct,interceptions,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
FOOTBALL_AF1_2026_4_12_T584761G1168201@T612138,2026-04-13,2026,1,AF1,Beaumont Renegades,Oceanside Bombers,,,,,,,,,,,,,21.0,29.0,0.0,0.0,2.0,125.0,6.0,-6.0,0.0,0.0,2.0,0.0,0.0,-11.0
FOOTBALL_AF1_2026_4_19_T612138G1168205@T584747,2026-04-19,2026,2,AF1,Oceanside Bombers,Kentucky Barrels,,,,,,,,,,,,,11.0,23.0,0.0,0.0,3.0,84.0,8.0,,,,,,,
FOOTBALL_AF1_2026_4_26_T612138G1168208@T584761,2026-04-26,2026,3,AF1,Oceanside Bombers,Beaumont Renegades,1.0,0.0,3.0,3.0,45.0,17.0,0.0,158.0,0.0,1.0,50.0,0.0,7.0,0.0,0.0,0.0,2.0,36.0,5.0,,,,,,,
SYNTHETIC_50YARD_2026_W3_OCEANSIDEBOMBERS,2026-05-16,2026,3,50YARD,OCEANSIDE BOMBERS,NASHVILLE KATS,,,,,,,,,,,,,,,,,1.0,94.0,6.0,,,,,,,
FOOTBALL_AF1_2026_5_3_T602555G1168214@T612138,2026-05-04,2026,4,AF1,Minnesota Monsters,Oceanside Bombers,,,,,,,,,,,,,16.0,0.0,0.0,0.0,2.0,164.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FOOTBALL_AF1_2026_5_16_T612138G1168221@T584637,2026-05-16,2026,6,AF1,Oceanside Bombers,Nashville Kats,,,,,,,,,,,,,16.0,33.0,0.0,0.0,1.0,94.0,6.0,,,,,,,
