game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,15.0,,,13.0,16.0,,,,31.0,,,,
NLL_2021_SEASON_TOTAL,,,1,,,,30.0,,,17.0,17.0,,2.0,,47.0,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,25.0,,,13.0,15.0,,2.0,,40.0,8.0,6.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,37.0,,,17.0,15.0,,2.0,,52.0,3.0,,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0
