game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,d_points,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,plus_minus,points_added,saves,shots,shots_faced,shots_on_target,touches,turnovers,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-nwsl-2016-4wM4Ezg5jB,,2016,1,NWSL,,,0.0,0.0,49.5704,44.071,,0.0,1.0,-1.1809,0.0,0.4585,0.0,0.1429,0.0,131.0,0.42,50.0,-5.3075,-10.615,,0.0,6.0,0.0,7.0,0.0,,,0.0,0.0,2.1809,0.0,0.0,0.5261,0.0
soccer-nwsl-2017-4wM4Ezg5jB,,2017,1,NWSL,,,0.0,-0.057,41.5794,33.2248,,0.0,31.0,-3.8895,0.0,0.8885,0.0,0.1356,2.0,1837.0,0.6209,699.0,6.2967,0.9008,,0.0,85.0,0.0,118.0,0.0,,,0.057,0.0,34.8895,0.0,0.057,0.6119,0.0
soccer-nwsl-2018-eV5D2w9QKn,,2018,1,NWSL,,,0.0,0.0,36.6158,28.7355,,0.0,18.0,5.4633,0.0,1.4358,0.0,0.2264,0.0,1638.0,0.642,676.0,-13.5157,-1.9994,,0.0,31.0,0.0,53.0,0.0,,,0.0,0.0,12.5367,0.0,0.0,0.662,0.0
soccer-nwsl-2020-eV5D2w9QKn,,2020,1,NWSL,,,0.0,0.0,45.2425,38.4809,,0.0,10.0,1.437,0.0,1.1678,0.0,0.2258,0.0,708.0,0.5061,247.0,-16.76,-6.7854,,0.0,21.0,0.0,31.0,0.0,,,0.0,0.0,8.563,0.0,0.0,0.5739,0.0
soccer-nwsl-2021-4wM4rZdqjB,,2021,1,NWSL,,,1.0,0.7619,40.8049,33.7152,,0.0,10.0,0.4077,-0.0136,1.0425,1.0,0.2286,1.0,790.0,0.6426,291.0,7.791,2.6773,,0.0,23.0,1.0,35.0,0.0,,,0.2381,0.0136,9.5923,-0.0136,0.2517,0.6158,0.0134
soccer-nwsl-2022-Pk5LeeNqOW,,2022,1,NWSL,,,0.0,0.0,40.7282,34.7831,,0.0,4.0,-1.3567,0.0,0.7467,0.0,0.1579,0.0,291.0,0.5342,73.0,-3.6553,-5.0072,,0.0,15.0,0.0,19.0,0.0,,,0.0,0.0,5.3567,0.0,0.0,0.5843,0.0
soccer-nwsl-2023-raMyrr25d2,,2023,1,NWSL,,,0.0,0.0,38.1587,29.2828,,0.0,15.0,-2.3381,0.0,0.8651,0.0,0.1129,0.0,1647.0,0.6684,579.0,-0.7431,-0.1283,,0.0,46.0,0.0,62.0,0.0,,,0.0,0.0,17.3381,0.0,0.0,0.6697,0.0
soccer-nwsl-2025-4JMAk47qKg,,2025,1,NWSL,,,0.0,0.0,31.4566,22.5877,,0.0,17.0,0.2633,0.0,1.0157,0.0,0.125,0.0,920.0,0.7516,310.0,1.4551,0.4694,,0.0,47.0,0.0,64.0,0.0,,,0.0,0.0,16.7367,0.0,0.0,0.7469,0.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,,,,,9.0,1.0,,,,,,,,,,,,,-1.0,,,,,,7.0,2.0,,,,,,,
soccer-nwsl-2026-2lqRn34qr0,,2026,1,NWSL,,,0.0,-0.078,29.3102,19.6892,,0.0,9.0,-4.5441,0.0,0.6645,0.0,0.2195,1.0,803.0,0.7841,315.0,-2.222,-0.7054,,0.0,30.0,0.0,41.0,0.0,,,0.078,0.0,13.5441,0.0,0.078,0.7912,0.0
