game_id,date,season,week,league,away,home,def_ff,def_int,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,1.0,6.0,5.0,10.0,14.0,9.0,66.0,2379.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,1.0,12.0,7.0,12.0,16.0,15.0,81.0,2866.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,,13.0,10.0,12.0,45.0,37.0,48.0,1968.0,
