game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_tgt,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,12.0,6.0,1.0,,50.0,48.0,5.0,210.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,11.0,8.0,,,45.0,72.0,2.0,355.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,15.0,1.0,,86.0,152.0,5.0,709.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,15.0,1.0,,145.0,178.0,14.0,1042.0
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,1.0,3.0,,4.0,13.0,8.0,1.0,26.0
