game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,,,17.0,11.0,,20.0,,,,115.0,,,,,,,,,,,3.0,16.0,1.0,21.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,,,,8.0,5.0,1.0,18.0,5.0,1.0,,55.0,,,,,,,,,,,1.0,4.0,,4.0,,,,,
FOOTBALL_CFL_2021_10_23_BC@WPG,2021-10-23,2021,1,CFL,BC,WPG,,,,4.0,3.0,,21.0,,,,31.0,,,,,,,,,,,2.0,10.0,,11.0,,,,,
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,1.0,,,,,,,,,,,,,,,,,,2.0,12.0,1.0,13.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,34.0,23.0,2.0,48.0,5.0,1.0,1.0,359.0,,,,,,,,,,,7.0,12.0,3.0,34.0,,,18.0,3.0,3.0
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2021_8_6_BC@SSK,2021-08-06,2021,1,CFL,BC,SSK,,,,18.0,10.0,2.0,,10.0,1.0,2.0,194.0,,,,,,,,,,,1.0,10.0,,10.0,,,,,
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,,17.0,,,,,
FOOTBALL_CFL_2022_10_28_BC@WPG,2022-10-28,2022,1,CFL,BC,WPG,1.0,1.0,,11.0,7.0,,14.0,7.0,1.0,,68.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_11_13_BC@WPG,2022-11-13,2022,1,CFL,BC,WPG,,,,37.0,20.0,2.0,42.0,15.0,2.0,1.0,300.0,,,,,,,,,,,2.0,12.0,,20.0,,,,,
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,,,30.0,22.0,,37.0,29.0,4.0,2.0,321.0,,,,,,,,,,,1.0,5.0,,5.0,,,,,
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,,,,29.0,26.0,,44.0,,,3.0,282.0,,,,,,,,,,,7.0,33.0,2.0,78.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2022_6_25_TOR@BC,2022-06-25,2022,1,CFL,TOR,BC,,,,45.0,39.0,,46.0,7.0,1.0,4.0,436.0,,,,,,,,,,,3.0,11.0,,15.0,,,,,
FOOTBALL_CFL_2022_6_30_BC@OTT,2022-06-30,2022,1,CFL,BC,OTT,1.0,1.0,,31.0,23.0,2.0,,7.0,1.0,2.0,359.0,,,,,,,,,,,5.0,,1.0,87.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_7_21_HAM@BC,2022-07-21,2022,1,CFL,HAM,BC,,,,30.0,22.0,2.0,43.0,7.0,1.0,2.0,250.0,,,,,,,,,,,4.0,3.0,,8.0,,,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,,,33.0,27.0,,40.0,17.0,2.0,2.0,336.0,,,,,,,,,,,8.0,12.0,1.0,20.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_7_9_WPG@BC,2022-07-09,2022,1,CFL,WPG,BC,1.0,1.0,,25.0,16.0,2.0,,7.0,1.0,3.0,278.0,,,,,,-4.0,1.0,1.0,-4.0,-4.0,,,,,,,,,
FOOTBALL_CFL_2022_8_13_BC@CGY,2022-08-13,2022,1,CFL,BC,CGY,,,,52.0,39.0,2.0,,20.0,2.0,2.0,488.0,,,,,,,,,,,4.0,6.0,2.0,8.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,,31.0,22.0,2.0,,5.0,1.0,2.0,375.0,,,,,,,,,,,3.0,33.0,,63.0,,,,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,,37.0,34.0,,,12.0,1.0,5.0,477.0,,,,,,,,,,,5.0,14.0,1.0,25.0,,,6.0,1.0,1.0
SYNTHETIC_CFL_2022_W1_BC,,2022,1,CFL,,,,,0.0,,,,,,,,,3.0,282.0,,,,,,,,,,,,,2.0,78.0,,,
SYNTHETIC_CFL_2022_W4_BC,,2022,4,CFL,,,,,2.0,,,,,,,,,2.0,359.0,,,,,,,,,,,,,1.0,87.0,,,
SYNTHETIC_CFL_2022_W5_BC,,2022,5,CFL,,,,,2.0,,,,,,,,,3.0,278.0,0.0,-4.0,1.0,,,,,,,,,,,,,,
