game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,12.0,47.0,2.0,563.0,1.0,12.0,-8.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,18.0,68.0,5.0,960.0,13.0,18.0,74.0
