game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,,2.0,,22.0,3.0,2.0,29.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,1.0,5.0,8.0,,97.0,12.0,32.0,666.0,14.0,113.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,1.0,2.0,3.0,,60.0,9.0,4.0,81.0,5.0,16.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,,1.0,,76.0,9.0,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,,1.0,21.0,9.0,3.0,57.0,1.0,27.0
