game_id,date,season,week,league,away,home,def_int,def_lg,def_solo,def_tot,def_yds,interceptions_made,sacks,tackles
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,5.0,5.0,,,,
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,2.0,2.0,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,1.0,14.0,1.0,1.0,14.0,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,1.0,4.0,9.0,9.0,4.0,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,1.0,3.0,4.0,4.0,3.0,,,
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,1.0,40.0,,,40.0,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,5.0,5.0,,,,
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,,,,0.0,2.0,6.0
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,,,,0.0,0.0,2.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,,,0.0,0.0,3.0
