game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_tackles,gp,pass_att,pass_cmp,pass_yds,recv_rec,recv_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,6.0,5.0,26.0,10.0,2.0,1.0,5.0,1.0,5.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,3.0,8.0,21.0,10.0,,,,,
