game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,gp,pr_no
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,2.0,44.0,10.0,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,1.0,55.0,11.0,1.0
