game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,9.0,249.0,145.0,10.0,13.0,1719.0,64.0,5.0,399.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,8.0,208.0,111.0,3.0,16.0,1536.0,34.0,3.0,200.0
