game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,2.0,10.0,5.0,93.0,3.0,1.0,18.0,31.0,,97.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,11.0,,8.0,15.0,1.0,77.0,85.0,1.0,233.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,3.0,8.0,,,2.0,,20.0,44.0,3.0,214.0
