game_id,date,season,week,league,away,home,def_ast,def_sack,def_solo,def_tot,def_ydsl
FOOTBALL_CFL_2017_8_10_ATL@MIA,2017-08-10,2017,1,CFL,ATL,MIA,2.0,,,2.0,
FOOTBALL_CFL_2017_8_31_MIA@MIN,2017-08-31,2017,1,CFL,MIA,MIN,1.0,1.0,1.0,2.0,9.0
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,,,1.0,1.0,
